Brand,WC_Category,Current_SKU,Current_Name,Current_Price,Proposed_Parent_SKU,Proposed_Parent_Name,Attribute_Name,Attribute_Value,From_Price,Action,Notes
Columbia Taping Tools,Repair Kits & Parts,SSB10,"Columbia Sabre Smoothing Blade 10"" (SSB10)",29.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"10""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB12,"Columbia Sabre Smoothing Blade 12"" (SSB12)",31.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"12""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB14,"Columbia Sabre Smoothing Blade 14"" (SSB14)",32.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"14""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB16,"Columbia Sabre Smoothing Blade 16"" (SSB16)",38.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"16""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB18,"Columbia Sabre Smoothing Blade 18"" (SSB18)",44.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"18""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB24,"Columbia Sabre Smoothing Blade 24"" (SSB24)",59.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"24""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB32,"Columbia Sabre Smoothing Blade 32"" (SSB32)",74.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"32""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB40,"Columbia Sabre Smoothing Blade 40"" (SSB40)",99.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"40""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB48,"Columbia Sabre Smoothing Blade 48"" (SSB48)",129.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"48""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,SSB7,"Columbia Sabre Smoothing Blade 7"" (SSB7)",19.99,SSBGROUP,Columbia Sabre Smoothing Blade,Width,"7""",$19.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,TSB-10,"Columbia 10"" Tomahawk Smoothing Blade (TSB-10)",56.24,TSB-GROUP,Columbia Tomahawk Smoothing Blade,Width,"10""",$44.34,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,TSB-12,"Columbia 12"" Tomahawk Smoothing Blade (TSB-12)",63.81,TSB-GROUP,Columbia Tomahawk Smoothing Blade,Width,"12""",$44.34,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,TSB-14,"Columbia 14"" Tomahawk Smoothing Blade (TSB-14)",75.71,TSB-GROUP,Columbia Tomahawk Smoothing Blade,Width,"14""",$44.34,MERGE → variable product,
