ID,Type,SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Regular price,Sale price,Tax status,In stock?,Categories,Images,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: source_catalog,Meta: source_catalog_pages,Meta: source_validation,Meta: official_sku_raw,Meta: tsw_match_status,Meta: tsw_name_mismatch
,simple,10FBB,columbia-tools-10-fat-boy-flat-box-10fbb,"Columbia Tools 10"" Fat Boy Flat Box",0,hidden,"Official Columbia catalog item: 10"" Fat Boy Flat Box.","Official Columbia catalog item: 10"" Fat Boy Flat Box. Section: Flat Finisher Box. Source listing: 10FBB 10“ Fat Boy Flat Box. Catalog page(s): 11.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Finisher Box,"https://www.columbiatools.com/wp-content/uploads/2022/03/InsideTrackBoxFrontSmall.png, https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox-1.jpg",Columbia Tools,Official Section,Flat Finisher Box,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,sku_found_in_pdf_text,10FBB,matched,1
,simple,10FBBA,columbia-tools-10-automatic-fat-boy-box-10fbba,"Columbia Tools 10"" Automatic Fat Boy Box",0,hidden,"Official Columbia catalog item: 10"" Automatic Fat Boy Box.","Official Columbia catalog item: 10"" Automatic Fat Boy Box. Section: Automatic Flat Boxes. Source listing: 10FBBA 10” Automatic Fat Boy Box. Catalog page(s): 12.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,,Columbia Tools,Official Section,Automatic Flat Boxes,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,sku_found_in_pdf_text,10FBBA,matched,1
,simple,10FFB,columbia-tools-10-flat-finisher-box-10ffb,"Columbia Tools 10"" Flat Finisher Box",0,hidden,"Official Columbia catalog item: 10"" Flat Finisher Box.","Official Columbia catalog item: 10"" Flat Finisher Box. Section: Flat Finisher Box. Source listing: 10FFB 10” Flat Finisher Box. Catalog page(s): 11.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Finisher Box,"https://www.columbiatools.com/wp-content/uploads/2022/03/2023flatbox.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox.jpg",Columbia Tools,Official Section,Flat Finisher Box,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,sku_found_in_pdf_text,10FFB,matched,1
,simple,10FFBA,columbia-tools-10-automatic-flat-box-10ffba,"Columbia Tools 10"" Automatic Flat Box",0,hidden,"Official Columbia catalog item: 10"" Automatic Flat Box.","Official Columbia catalog item: 10"" Automatic Flat Box. Section: Automatic Flat Boxes. Source listing: 10FFBA 10” Automatic Flat Box. Catalog page(s): 12.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,,Columbia Tools,Official Section,Automatic Flat Boxes,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,sku_found_in_pdf_text,10FFBA,matched,1
,simple,12FBB,columbia-tools-12-fat-boy-flat-box-12fbb,"Columbia Tools 12"" Fat Boy Flat Box",0,hidden,"Official Columbia catalog item: 12"" Fat Boy Flat Box.","Official Columbia catalog item: 12"" Fat Boy Flat Box. Section: Flat Finisher Box. Source listing: 12FBB 12” Fat Boy Flat Box. Catalog page(s): 11.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Finisher Box,"https://www.columbiatools.com/wp-content/uploads/2022/03/InsideTrackBoxFrontSmall.png, https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox-1.jpg",Columbia Tools,Official Section,Flat Finisher Box,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,sku_found_in_pdf_text,12FBB,matched,1
,simple,12FBBA,columbia-tools-12-automatic-fat-boy-box-12fbba,"Columbia Tools 12"" Automatic Fat Boy Box",0,hidden,"Official Columbia catalog item: 12"" Automatic Fat Boy Box.","Official Columbia catalog item: 12"" Automatic Fat Boy Box. Section: Automatic Flat Boxes. Source listing: 12FBBA 12” Automatic Fat Boy Box Inside. Catalog page(s): 12.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,,Columbia Tools,Official Section,Automatic Flat Boxes,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,sku_found_in_pdf_text,12FBBA,matched,1
,simple,12FFB,columbia-tools-12-flat-finisher-box-12ffb,"Columbia Tools 12"" Flat Finisher Box",0,hidden,"Official Columbia catalog item: 12"" Flat Finisher Box.","Official Columbia catalog item: 12"" Flat Finisher Box. Section: Flat Finisher Box. Source listing: 12FFB 12“ Flat Finisher Box. Catalog page(s): 11.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Finisher Box,"https://www.columbiatools.com/wp-content/uploads/2022/03/2023flatbox.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox.jpg",Columbia Tools,Official Section,Flat Finisher Box,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,sku_found_in_pdf_text,12FFB,matched,1
,simple,12FFBA,columbia-tools-12-automatic-flat-box-12ffba,"Columbia Tools 12"" Automatic Flat Box",0,hidden,"Official Columbia catalog item: 12"" Automatic Flat Box.","Official Columbia catalog item: 12"" Automatic Flat Box. Section: Automatic Flat Boxes. Source listing: 12FFBA 12” Automatic Flat Box. Catalog page(s): 12.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,,Columbia Tools,Official Section,Automatic Flat Boxes,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,sku_found_in_pdf_text,12FFBA,matched,1
,simple,14FFB,columbia-tools-14-flat-finisher-box-14ffb,"Columbia Tools 14"" Flat Finisher Box",0,hidden,"Official Columbia catalog item: 14"" Flat Finisher Box.","Official Columbia catalog item: 14"" Flat Finisher Box. Section: Flat Finisher Box. Source listing: 14 FFB 14” Flat Finisher Box. Catalog page(s): 11.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Finisher Box,"https://www.columbiatools.com/wp-content/uploads/2022/03/2023flatbox.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox.jpg",Columbia Tools,Official Section,Flat Finisher Box,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,sku_found_in_pdf_text,14 FFB,matched,1
,simple,14FFBA,columbia-tools-14-automatic-flat-box-14ffba,"Columbia Tools 14"" Automatic Flat Box",0,hidden,"Official Columbia catalog item: 14"" Automatic Flat Box.","Official Columbia catalog item: 14"" Automatic Flat Box. Section: Automatic Flat Boxes. Source listing: 14FFBA 14” Automatic Flat Box. Catalog page(s): 12.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Automatic Flat Boxes,,Columbia Tools,Official Section,Automatic Flat Boxes,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,sku_found_in_pdf_text,14FFBA,matched,1
