Model,Description,UPC Code,Ship Box Length (in),Ship Box Width (in),Ship Box Height (in),Ship Package Weight (lbs),Ship Box Length (cm),Ship Box Width (cm),Ship Box Height (cm),Ship Package Weight (kg)
07TT,EasyClean Automatic Taper,873876002146,55,7,7,9.25,140,18,18,4.1957294225
14TT,MudRunner,873876000371,65,6.5,6.5,8.75,166,17,17,3.9689332375000004
15TTE,Inside Corner Roller,873876000388,8,4,4,1.9,21,11,11,0.861825503
16TT,Mud Head for Outside Corner (90 Degrees),873876000395,6.5,4.5,4.5,0.6,17,12,12,0.272155422
16TT90,Mud Head for Inside Corner (90 Degrees),873876000401,6.5,4.5,4.5,0.55,17,12,12,0.24947580350000004
17TT,Outside Corner Roller,873876000418,6.5,4.5,4.5,1.65,17,12,12,0.7484274105
17TTE,Outside Corner Roller (for Flex Tape),873876000425,6.5,4.5,4.5,1.65,17,12,12,0.7484274105
20TTX,"7"" EasyClean Finishing Box",873876000432,10,6,4,2.75,26,16,11,1.2473790175000001
EZ07TT,"7"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002603,10,6,4,2.75,26,16,11,1.2473790175000001
PA07H,"7"" Power Assist Finishing Box",873876001774,9,8,6,4.1,23,21,16,1.8597287169999999
PAHC07,"7"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002306,9,8,6,4.2,23,21,16,1.905087954
EHC07,"7"" MAXXBOX™ Extra High Capacity Finishing Box",873876002115,9,8,6,4,23,21,16,1.81
25TTX,"10"" EasyClean Finishing Box",873876000463,12,6,4,3.3,31,16,11,1.496854821
EZ10TT,"10"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002610,12,6,4,3.3,31,16,11,1.496854821
PA10H,"10"" Power Assist Finishing Box",873876001798,12,8,6,4.7,31,21,16,2.1318841390000003
PAHC10,"10"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002313,12,8,6,4.8,31,21,16,2.177243376
EHC10,"10"" MAXXBOX™ Extra High Capacity Finishing Box",873876002122,12,8,6,4.5,31,21,16,2.04
30TTX,"12"" EasyClean Finishing Box",873876000494,14,6,4,3.85,36,16,11,1.7463306245
EZ12TT,"12"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002627,14,6,4,3.85,36,16,11,1.7463306245
PA12H,"12"" Power Assist Finishing Box",873876000517,14,8,6,5.15,36,21,16,2.3360007055000005
PAHC12,"12"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002320,14,8,6,5.2,36,21,16,2.3586803240000003
EHC12,"12"" MAXXBOX™ Extra High Capacity Finishing Box",873876002139,14,8,6,5,36,21,16,2.27
35TT,"8"" Corner Applicator",873876000524,9,9,4,2.8,23,23,11,1.270058636
CA07TT,"7"" Corner Applicator",873876002788,8,8,4,2.5,21,21,11,1.13
CA08TT,"8"" Corner Applicator",873876002795,9,9,4,2.8,23,23,11,1.27
40TT,"2"" Corner Finisher",873876000548,6,4,4,0.7,16,11,11,0.317514659
42TT,"2.5"" Corner Finisher",873876002290,5,5,6,1,12.7,12.7,15.24,0.45
45TT,"3"" Corner Finisher",873876000555,6,4,4,0.9,16,11,11,0.408233133
48TT,"3"" Easy Roll Adjustable Corner Finisher",873876000562,6,4,4,1.05,16,11,11,0.4762719885
50TT,"3.5"" Corner Finisher",873876000579,6,4,4,1.05,16,11,11,0.4762719885
52TT,"3.5"" Easy Roll Adjustable Corner Finisher",873876000586,6,4,4,1.2,16,11,11,0.544310844
55TT,"4"" Corner Finisher",873876000593,7,5,5,1.2,18,13,13,0.544310844
58TT,"4"" Easy Roll Adjustable Corner Finisher",873876000609,7,5,5,1.35,18,13,13,0.6123496995
60TT,"4"" Easy Roll Adjustable Corner Finisher",873876000616,7,5,5,1.35,18,13,13,0.6123496995
70TT,EasyClean Corner Finisher Handle,873876000623,54,3,3,2.25,138,8,8,1.0205833425
72TT,EasyClean Extendable Corner Finisher Handle,873876000630,45,4,4,3.7,115,11,11,1.678291769
76TT,Corner Finisher Handle - 48 in,873876000647,49,3,3,2.15,125,8,8,0.9752241055
80TT,Corner Finisher Handle - 42 in,873876000654,43,3,3,1.95,110,8,8,0.8845056315000001
90TT,Corner Finisher Handle - 36 in,873876000661,37,3,3,1.75,94,8,8,0.7937871575
93TT,Corner Finisher Handle - 48 in,873876002818,49,3,3,2.15,125,8,8,0.98
94TT,Corner Finisher Handle - 42 in,873876002825,43,3,3,1.95,110,8,8,0.88
95TT,Corner Finisher Handle - 36 in,873876002832,37,3,3,1.75,94,8,8,0.79
CT24TT,Compound Tube 24 in,873876000708,32.25,4.25,4.25,2.4,82,11,11,1.088621688
CT32TT,Compound Tube 32 in,873876000715,40.25,4.25,4.25,2.7,103,11,11,1.224699399
CT36TT,Compound Tube 36 in,873876000722,48.25,4.25,4.25,3.1,123,11,11,1.406136347
CT42TT,Compound Tube 42 in,873876000739,50.25,5.25,5.25,3.6,128,14,14,1.632932532
CT48TT,Compound Tube 48 in,873876000746,56.25,5.25,5.25,4,143,14,14,1.81436948
CT60TT,Compound Tube 60 in,873876000753,68.25,5.25,5.25,4.6,174,14,14,2.086524902
T03TT,Angle Head 2.5 in,873876000760,6,4,4,0.7,16,11,11,0.317514659
T05TT,Angle Head 3 in,873876000777,6,4,4,0.9,16,11,11,0.408233133
T07TT,Angle Head 3.5 in,873876000784,6,4,4,1.05,16,11,11,0.4762719885
T10TT,Angle Head 4 in,873876000791,7,5,5,1.2,18,13,13,0.544310844
FHTT,Fiberglass Handle,873876000807,54,3,3,1.8,138,8,8,0.816466266
FHTT-Q,Fiberglass Handle Quick Release,873876002801,54,3,3,1.8,138,8,8,0.82
FSHTT,Short Fiberglass Handle,873876000814,34,3,3,1.4,87,8,8,0.635029318
FSHTT-Q,Short Fiberglass Handle Quick Release,873876002818,34,3,3,1.4,87,8,8,0.64
76-CA,Corner Applicator Handle 48 in,873876000821,49,3,3,2.15,125,8,8,0.9752241055
80-CA,Corner Applicator Handle 42 in,873876000838,43,3,3,1.95,110,8,8,0.8845056315000001
90-CA,Corner Applicator Handle 36 in,873876000845,37,3,3,1.75,94,8,8,0.7937871575
76-CR,Corner Roller Handle 48 in,873876000852,49,3,3,2.15,125,8,8,0.9752241055
80-CR,Corner Roller Handle 42 in,873876000869,43,3,3,1.95,110,8,8,0.8845056315000001
90-CR,Corner Roller Handle 36 in,873876000876,37,3,3,1.75,94,8,8,0.7937871575
BHE,EasyClean Extendable Box Handle,873876000883,46,4.5,4.5,6.2,117,12,12,2.812273694
BHE-SW,EasyClean Extendable Box Handle with Swivel,873876000890,46,4.5,4.5,6.4,117,12,12,2.902992168
BH,EasyClean Box Handle,873876000906,44,4.5,4.5,5.1,112,12,12,2.313321087
FBH2642TT-CF,Carbon Fiber Box Handle 26-42 in,873876002658,31,4,4,3.6,79,11,11,1.632932532
FBH4272TT-CF,Carbon Fiber Box Handle 42-72 in,873876002665,47,4,4,4.2,120,11,11,1.905087954
TTBPS-7-10,TapeTech Pro Set with 7 and 10 in Finishing Boxes,873876002689,65,18,14,38,166,46,36,17.23651006
TTBPS-10-12,TapeTech Pro Set with 10 and 12 in Finishing Boxes,873876002696,65,18,14,39,166,46,36,17.69010243
TTFULL7-10,TapeTech Full Set with 7 and 10 in Finishing Boxes,873876002702,65,18,14,42,166,46,36,19.05087954
TTFULL10-12,TapeTech Full Set with 10 and 12 in Finishing Boxes,873876002719,65,18,14,43,166,46,36,19.50447191
TTJUMBO7-10,TapeTech Jumbo Set with 7 and 10 in Finishing Boxes,873876002726,65,18,14,45,166,46,36,20.41165665
TTJUMBO10-12,TapeTech Jumbo Set with 10 and 12 in Finishing Boxes,873876002733,65,18,14,46,166,46,36,20.86524902
TTTFS-7-10,TapeTech Taping and Finishing Set with 7 and 10 in Finishing Boxes,873876002740,65,18,14,47,166,46,36,21.31884139
TTTFS-10-12,TapeTech Taping and Finishing Set with 10 and 12 in Finishing Boxes,873876002757,65,18,14,48,166,46,36,21.77243376
TTTFS-PRO-7-10,TapeTech Taping and Finishing Pro Set with 7 and 10 in Finishing Boxes,873876002764,65,18,14,50,166,46,36,22.6796185
TTTFS-PRO-10-12,TapeTech Taping and Finishing Pro Set with 10 and 12 in Finishing Boxes,873876002771,65,18,14,51,166,46,36,23.13321087
TTEZ7-10,TapeTech EasyClean Set with 7 and 10 in Finishing Boxes,873876002849,65,18,14,38,166,46,36,17.23651006
TTEZ10-12,TapeTech EasyClean Set with 10 and 12 in Finishing Boxes,873876002856,65,18,14,39,166,46,36,17.69010243
TTMAXX7-10,TapeTech MAXXBOX Set with 7 and 10 in Finishing Boxes,873876002863,65,18,14,40,166,46,36,18.1436948
TTMAXX10-12,TapeTech MAXXBOX Set with 10 and 12 in Finishing Boxes,873876002870,65,18,14,41,166,46,36,18.59728717
TTMAXXPA7-10,TapeTech Power Assist MAXXBOX Set with 7 and 10 in Finishing Boxes,873876002887,65,18,14,42,166,46,36,19.05087954
TTMAXXPA10-12,TapeTech Power Assist MAXXBOX Set with 10 and 12 in Finishing Boxes,873876002894,65,18,14,43,166,46,36,19.50447191
TTFULLPA7-10,TapeTech Power Assist Full Set with 7 and 10 in Finishing Boxes,873876002900,65,18,14,44,166,46,36,19.95706428
TTFULLPA10-12,TapeTech Power Assist Full Set with 10 and 12 in Finishing Boxes,873876002917,65,18,14,45,166,46,36,20.41165665
TTTFS-PA-7-10,TapeTech Taping and Finishing Power Assist Set with 7 and 10 in Finishing Boxes,873876002924,65,18,14,50,166,46,36,22.6796185
TTTFS-PA-10-12,TapeTech Taping and Finishing Power Assist Set with 10 and 12 in Finishing Boxes,873876002931,65,18,14,51,166,46,36,23.13321087
TTTFS-MAXX-7-10,TapeTech Taping and Finishing MAXXBOX Set with 7 and 10 in Finishing Boxes,873876002948,65,18,14,48,166,46,36,21.77243376
TTTFS-MAXX-10-12,TapeTech Taping and Finishing MAXXBOX Set with 10 and 12 in Finishing Boxes,873876002955,65,18,14,49,166,46,36,22.22602613
TTTFS-MAXXPA-7-10,TapeTech Taping and Finishing Power Assist MAXXBOX Set with 7 and 10 in Finishing Boxes,873876002962,65,18,14,52,166,46,36,23.58680324
TTTFS-MAXXPA-10-12,TapeTech Taping and Finishing Power Assist MAXXBOX Set with 10 and 12 in Finishing Boxes,873876002979,65,18,14,53,166,46,36,24.04039561
