Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 used for variations,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 used for variations,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 used for variations,Attribute 3 global,Meta: _mpn
variable,AH-AD,,Asgard Angle Head,1,0,visible,"Professional Asgard Angle Head available in 2.5"", 3"", and 3.5"" sizes for precise, single-pass internal corner finishing.","<p>The Asgard Angle Head is a professional-grade finisher engineered to simultaneously feather joint compound on both sides of internal 90-degree corners. Available in 2.5"", 3"", and 3.5"" widths, these tools deliver a clean, uniform finish in a single pass, significantly reducing manual sanding. Built for high-volume production, they feature a corrosion-resistant die-cast aluminum body, stainless steel frames, and easy-roll rubber wheels to minimize friction. The patented positive ball retainer ensures a secure, reliable connection to your handle or applicator.</p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical finish.</li><li><strong>Durable Construction:</strong> Die-cast aluminum body with stainless steel frames and skids for job site longevity.</li><li><strong>Smooth Operation:</strong> Easy-roll wheels reduce drag on wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Fit:</strong> Patented positive ball retainer prevents accidental disconnects during use.</li><li><strong>Available Sizes:</strong> 2.5"" (AH25-AD), 3"" (AH30-AD), and 3.5"" (AH35-AD).</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag42-asgard-angle-head-AH25-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag48-asgard-3-angle-head-AH30-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag48x-asgard-angle-head-AH35-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-angle-head-adapter-CFA-AD-01.webp,,,,,,,,,0,Asgard,Angle Head Size,"2.5"" | 3"" | 3.5""",1,1,1,,,,,,,,,,,"AH25-AD, AH30-AD, AH35-AD"
variation,AH25-AD,,Asgard Angle Head,1,0,visible,,,,,taxable,,1,,,0,0,1,,,,1,,,348.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag42-asgard-angle-head-AH25-AD-01.webp,,,AH-AD,,,,,,1,Asgard,Angle Head Size,"2.5""",,1,1,,,,,,,,,,,AH25-AD
variation,AH30-AD,,Asgard Angle Head,1,0,visible,,,,,taxable,,0,,,0,0,1.05,,,,1,,,373.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag42-asgard-angle-head-AH25-AD-01.webp,,,AH-AD,,,,,,2,Asgard,Angle Head Size,"3""",,1,1,,,,,,,,,,,AH30-AD
variation,AH35-AD,,Asgard Angle Head,1,0,visible,,,,,taxable,,0,,,0,0,1.15,,,,1,,,392.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag42-asgard-angle-head-AH25-AD-01.webp,,,AH-AD,,,,,,3,Asgard,Angle Head Size,"3.5""",,1,1,,,,,,,,,,,AH35-AD
simple,CFA-AD,,Asgard Angle Head Ball Adapter (CFA-AD),1,0,visible,"The Asgard Angle Head Ball Adapter (CFA-AD) connects your angle head to a finishing handle, providing the essential articulation needed for smooth, precise, and efficient drywall corner finishing.","<p><strong>Asgard Angle Head Ball Adapter (CFA-AD)</strong> serves as the critical link between your angle head and finishing handle, facilitating the precise articulation required for professional drywall corner finishing. This adapter enables multi-directional movement, allowing the tool to maintain consistent contact with internal corners and tight architectural angles. By ensuring optimal tool positioning, it helps produce a smooth, feathered finish while reducing wrist strain during extended use.</p><p>Engineered for the rigors of high-volume job sites, this component is built from durable aluminum to maintain structural integrity under pressure. It integrates seamlessly into your existing taping workflow, providing a secure and reliable connection that supports efficient, high-quality results.</p><p><strong>Features:</strong></p><ul><li><strong>Fluid Articulation:</strong> The ball-joint design provides a superior range of motion, keeping the tool perfectly positioned in complex corners.</li><li><strong>Seamless Integration:</strong> Designed for quick, secure attachment between standard angle heads and compatible finishing handles.</li><li><strong>Professional Durability:</strong> Constructed from robust aluminum to withstand demanding construction environments.</li><li><strong>Ergonomic Operation:</strong> Promotes a natural hand position, significantly reducing fatigue during repetitive finishing tasks.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>Model</td><td>CFA-AD</td></tr><tr><td>Material</td><td>Aluminum</td></tr><tr><td>Compatibility</td><td>Standard Angle Heads, FH-AD, and XH-AD Handles</td></tr><tr><td>Height</td><td>5""</td></tr><tr><td>Width</td><td>1""</td></tr><tr><td>Depth</td><td>1""</td></tr><tr><td>Weight</td><td>0.33 lb</td></tr></tbody></table>",,,taxable,,1,,,0,0,0.7,,,,1,,,45.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, Automatic Taping Tools, CFA-AD, accessory, adaptor, angle head adaptor, semi automatic",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-angle-head-adapter-CFA-AD-01.webp,,,,,,,,,0,Asgard,,,,,,,,,,,,,,,,CFA-AD
simple,CA08-AD,,"Asgard 8"" Drywall Angle Box (CA08-AD)",1,0,visible,"The Asgard 8"" Drywall Angle Box features a high-capacity, lightweight aluminum body and a durable stainless steel nose cone. Designed for professional efficiency, this tool provides consistent compound application for internal corners while maintaining long-term reliability on the job site.","<p><strong>Asgard 8"" Drywall Angle Box (CA08-AD)</strong> provides professional-grade efficiency for applying joint compound to internal corners. This tool is engineered to streamline the finishing process, allowing for consistent, high-volume output that reduces the need for frequent refills during demanding drywall projects.</p><p>Built with a lightweight anodized aluminum body, the unit minimizes operator fatigue while maintaining the structural durability required for daily site use. The precision-engineered stainless steel nose cone ensures a smooth, reliable flow of compound, delivering the professional results expected in high-standard finishing work.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> Optimized to hold more joint compound than smaller models, increasing productivity by extending the time between pump refills.</li><li><strong>Durable Construction:</strong> Features a rugged, anodized aluminum housing paired with a hardened stainless steel nose cone for long-term wear resistance.</li><li><strong>Professional Ergonomics:</strong> Balanced design allows for precise control and ease of handling during vertical and horizontal corner applications.</li><li><strong>System Compatibility:</strong> Designed to integrate seamlessly with standard taping tool systems and corner finishing heads.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>CA08-AD</td></tr><tr><td>UPC</td><td>0873876004607</td></tr><tr><td>Tool Size</td><td>8 Inches</td></tr><tr><td>Body Material</td><td>Anodized Aluminum</td></tr><tr><td>Nose Cone Material</td><td>Stainless Steel</td></tr><tr><td>Warranty</td><td>5 Year Limited Warranty</td></tr></tbody></table>",,,taxable,,1,,,0,0,2.8,,,,1,,,298.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, Automatic Taping Tools, CA08-AD, corner angle box, corner box, corner finisher box, corner flusher box, cornerbox, flusher box",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag35-asgard-angle-box-with-fixed-handle-CA08-AD-FH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag35a-asgard-corner-applicator-CA08-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag35ext-asgard-angle-box-with-extendable-handle-CA08-AD-XH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-angle-box-w-handle-CA08-FHTT-002.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-angle-box-w-handle-CA08-FHTT-003.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-angle-box-w-handle-CA08-FHTT-004.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-angle-box-w-handle-CA08-FHTT-005.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-angle-box-w-handle-CA08-FHTT-01.webp,,,,,,,,,0,Asgard,,,,,,,,,,,,,,,,CA08-AD
simple,BBHE-AD,,Asgard Brakeless Box Extendable Handle - 38” - 60”,1,0,visible,Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic kno...,<p>Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic knob makes it easy to adjust the amount of friction.</p> <ul> <li>Attaches to all Asgard finishing boxes for professional finishing of flat joints on walls and ceilings</li> </ul> <h3>Features</h3> <ul> <li>Extends from 38” to 60” (97 cm to 152 cm)</li> <li>Friction brake design eliminates the learning curve associated with standard finishing box handles</li> <li>Optimal handle diameter for superior ergonomics</li> </ul> <p><em><strong>Note: Flat box not included.</strong></em></p> <ul></ul> <ul></ul> <ul></ul>,,,taxable,,1,,,0,0,3.85,,,,1,,,293.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, Automatic Taping Tools, BBHE-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-brakeless-box-handle-extendable-BBHE-AD-01.webp,,,,,,,,,0,Asgard,,,,,,,,,,,,,,,,BBHE-AD
simple,BBH-AD,,Asgard Brakeless Box Handle (BBH-AD),1,0,visible,"The Asgard Brakeless Box Handle (BBH-AD) features a friction-based design that simplifies drywall finishing, offering smooth, consistent control and universal compatibility with major finishing box brands.","<p><strong>Asgard Brakeless Box Handle (BBH-AD)</strong> provides professional drywall finishers with a streamlined, high-performance tool designed for consistent, fluid operation. By replacing traditional mechanical braking systems with a precision-engineered friction brake, this handle removes the steep learning curve often associated with standard finishing box handles. It allows for smooth, uninterrupted strokes across both walls and ceilings, ensuring a uniform coat with minimal effort.</p><p>Constructed from durable, lightweight fiberglass, this handle is built to withstand the daily demands of a busy job site while reducing operator fatigue during extended use. The ergonomic knob allows for quick, intuitive adjustments to friction levels, giving the user complete control over the box position and pressure. It is compatible with all major brands of finishing boxes, making it a versatile and reliable addition to any professional toolkit.</p><p><strong>Features:</strong></p><ul><li><strong>Friction Brake Design:</strong> Eliminates complex mechanical linkages for a smoother, more predictable finish and a shorter learning curve.</li><li><strong>Ergonomic Control:</strong> Features an easy-to-adjust knob that allows for precise friction settings to suit individual preferences and specific job requirements.</li><li><strong>Durable Construction:</strong> Manufactured from lightweight, high-strength fiberglass that is easy to clean and resistant to job site wear.</li><li><strong>Universal Compatibility:</strong> Engineered to fit seamlessly with all major brands of automatic drywall finishing boxes.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>Model</td><td>BBH-AD</td></tr><tr><td>Length</td><td>34 inches (86 cm)</td></tr><tr><td>Material</td><td>Fiberglass</td></tr><tr><td>Brake Type</td><td>Friction Brake</td></tr><tr><td>Warranty</td><td>5-Year Limited (TapeTech)</td></tr></tbody></table>",,,taxable,,1,,,0,0,2.95,,,,1,,,141.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, Automatic Taping Tools, BBH-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag35-asgard-angle-box-with-fixed-handle-CA08-AD-FH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag35ext-asgard-angle-box-with-extendable-handle-CA08-AD-XH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag88-asgard-finishing-box-handle-extendable-FBHE-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-brakeless-box-handle-BBH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-brakeless-box-handle-extendable-BBHE-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-brakeless-finishing-box-handle-BH-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-extendable-brakeless-finishing-box-handle-BHE-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-sidewinder-brakeless-flat-box-handle-BHE-SW-002.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-sidewinder-brakeless-flat-box-handle-BHE-SW-003.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/tapetech-sidewinder-brakeless-flat-box-handle-BHE-SW-004.webp,,,,,,,,,0,Asgard,,,,,,,,,,,,,,,,BBH-AD
simple,TTBDL9,,Asgard Classic Finishing Set,1,0,visible,The Asgard Classic Finishing Box Combo includes the tools you need to start finishing flat joints quickly and professionally. The adjustable length handle provides flexibility for multiple ceiling heights,"<p>The Asgard Classic Finishing Box Combo includes the tools you need to start finishing flat joints quickly and professionally. The adjustable length handle provides flexibility for multiple ceiling heights</p> <p><strong>10"" and 12"" Flat Finishing Boxes (EZ10-AD) (EZ12-AD)</strong></p> <p>The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint.</p> <p><strong>Loading Pump and Filler Adapter (LP01-AD) (FA01-AD)</strong></p> <p>The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The twist-lock foot valve provides secure attachment and easy removal for cleaning and maintenance. Unlike loading pumps from other brands the Asgard LP01-AD does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets.</p> <ul> <li>Fills Automatic Tapers (with GN01-TT Gooseneck)</li> <li>Fills finishing boxes, corner applicator and nail spotter (with FA01-AD filler adapter)</li> </ul> <p><strong> Brakeless Box Extendable Handle - 38” - 60 (BBHE-AD)</strong></p> <p>Asgard® introduces the first full-length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. The ergonomic knob makes it easy to adjust the amount of friction.</p>",,,taxable,,0,,,0,0,,,,,1,,,1244.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, Automatic Taping Tools, BBHE-AD, EZ10-AD, EZ12-AD, FA01-AD, LP01-AD, flat box set, mud pump, set, taping set",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-finishing-set-10-12-boxes-AGFINISHEXT-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-finishing-set-10-12-maxx-boxes-AGFINISHMAXXEXT-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-finishing-set-10-12-power-assist-boxes-AGFINISHPAEXT-01.webp,,,,,,,,,0,Asgard,,,,,,,,,,,,,,,,TTBDL9
simple,FBHE-AD,,Asgard Extendable Flat Box Handle (FBHE-AD),1,0,visible,"The Asgard Extendable Flat Box Handle offers a 41 to 63-inch telescopic range and universal compatibility. Its Brake Anywhere technology provides precise control while minimizing mechanical wear for reliable, long-term performance.","<p><strong>Asgard Extendable Flat Box Handle (FBHE-AD)</strong> provides professional-grade control for drywall finishing, engineered for consistent performance on both walls and ceilings. This handle features a robust telescopic design that adjusts from 41 to 63 inches, eliminating the need for constant height adjustments or stilts during high-reach applications. Its universal mounting plate ensures seamless integration with all major industry-standard flat boxes, making it a versatile addition to any professional tool inventory.</p><p><strong>Features:</strong></p><ul><li><strong>Brake Anywhere Technology:</strong> A specialized braking system allows the flat box to be locked at any angle, significantly reducing mechanical wear compared to traditional pinch-brake designs.</li><li><strong>Telescopic Adjustment:</strong> The smooth-sliding mechanism extends from 41 to 63 inches, providing secure, reliable locking at any length within the range.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with all major flat box brands for maximum versatility.</li><li><strong>Ergonomic Design:</strong> Built to minimize operator fatigue during extended use on demanding jobsites.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>FBHE-AD</td></tr><tr><td>UPC</td><td>873876004645</td></tr><tr><td>Minimum Length</td><td>41 inches</td></tr><tr><td>Maximum Length</td><td>63 inches</td></tr><tr><td>Brake System</td><td>Brake Anywhere Technology</td></tr></tbody></table>",,,taxable,,1,,,0,0,3.7,,,,1,,,322.00,Drywall Finishing Tools > Asgard > Automatic Taping Tools,"Asgard, Automatic Taping Tools, Extendable Handle, FBHE-AD, flat box handle",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag35ext-asgard-angle-box-with-extendable-handle-CA08-AD-XH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-ag88-asgard-finishing-box-handle-extendable-FBHE-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/05/asgard-brakeless-box-handle-extendable-BBHE-AD-01.webp,,,,,,,,,0,Asgard,,,,,,,,,,,,,,,,FBHE-AD
