ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: source_catalog,Meta: source_catalog_pages,Meta: source_validation,Meta: official_sku_raw,Meta: _dtb_legacy_normalized_sku,Meta: _dtb_catalog_family,Meta: _dtb_source_url
,variable,COL-FLAT-FINISHER-BOX,,Columbia Flat Finisher Box,1,0,visible,Columbia Flat Finisher Box — catalog-normalized Columbia Tools product.,<p>Columbia Flat Finisher Box is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Official SKU / MPN:</strong> DTB-COL-FLAT-FINISHER-BOX</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Boxes,"Columbia,Drywall Finishing Tools",,,,,,,,,,,1,Columbia Tools,Size,"5.5"", 7"", 8"", 10"", 12"", 14""",1,0,"5.5""","DTB-COL-FLAT-FINISHER-BOX, Columbia Flat Finisher Box, Columbia Tools",Columbia Flat Finisher Box,"Shop Columbia Flat Finisher Box, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Flat Finisher Box,"Columbia Tools, drywall tools, DTB-COL-FLAT-FINISHER-BOX",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-boxes,flat-boxes,0,,,,,5.5FFB,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-validated,,,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,5.5FFB,,"Columbia Flat Finisher Box - 5.5""",0,0,hidden,,<p>Columbia Flat Finisher Box - 5.5&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Configuration:</strong> 5.5&quot;</p><p><strong>Official SKU / MPN:</strong> 5.5FFB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,COL-FLAT-FINISHER-BOX,,,,,,1,Columbia Tools,Size,"5.5""",1,0,,"5.5FFB, Columbia Flat Finisher Box - 5.5"", Columbia Tools","Columbia Flat Finisher Box - 5.5""","Shop Columbia Flat Finisher Box - 5.5"", catalog-normalized for professional drywall finishing workflows.",,"noindex,follow","Columbia Flat Finisher Box - 5.5""","Columbia Tools, drywall tools, 5.5FFB",Columbia Tools,5.5FFB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"5.5""","5.5""",,1,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-validated,5.5FFB,55FFB,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,7FFB,,"Columbia Flat Finisher Box - 7""",1,0,visible,,<p>Columbia Flat Finisher Box - 7&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Configuration:</strong> 7&quot;</p><p><strong>Official SKU / MPN:</strong> 7FFB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,367.00,,,,,,,COL-FLAT-FINISHER-BOX,,,,,,2,Columbia Tools,Size,"7""",1,0,,"7FFB, Columbia Flat Finisher Box - 7"", Columbia Tools","Columbia Flat Finisher Box - 7""","Shop Columbia Flat Finisher Box - 7"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 7""","Columbia Tools, drywall tools, 7FFB",Columbia Tools,7FFB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"7""","7""",,2,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-shopames-price-validated,7FFB,7FFB,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,8FFB,,"Columbia Flat Finisher Box - 8""",1,0,visible,,<p>Columbia Flat Finisher Box - 8&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Configuration:</strong> 8&quot;</p><p><strong>Official SKU / MPN:</strong> 8FFB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,371.00,,,,,,,COL-FLAT-FINISHER-BOX,,,,,,3,Columbia Tools,Size,"8""",1,0,,"8FFB, Columbia Flat Finisher Box - 8"", Columbia Tools","Columbia Flat Finisher Box - 8""","Shop Columbia Flat Finisher Box - 8"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 8""","Columbia Tools, drywall tools, 8FFB",Columbia Tools,8FFB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"8""","8""",,3,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-shopames-price-validated,8FFB,8FFB,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,10FFB,,"Columbia Flat Finisher Box - 10""",1,0,visible,,<p>Columbia Flat Finisher Box - 10&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Configuration:</strong> 10&quot;</p><p><strong>Official SKU / MPN:</strong> 10FFB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,375.00,,,,,,,COL-FLAT-FINISHER-BOX,,,,,,4,Columbia Tools,Size,"10""",1,0,,"10FFB, Columbia Flat Finisher Box - 10"", Columbia Tools","Columbia Flat Finisher Box - 10""","Shop Columbia Flat Finisher Box - 10"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 10""","Columbia Tools, drywall tools, 10FFB",Columbia Tools,10FFB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"10""","10""",,4,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-shopames-price-validated,10FFB,10FFB,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,12FFB,,"Columbia Flat Finisher Box - 12""",1,0,visible,,<p>Columbia Flat Finisher Box - 12&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Configuration:</strong> 12&quot;</p><p><strong>Official SKU / MPN:</strong> 12FFB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,380.00,,,,,,,COL-FLAT-FINISHER-BOX,,,,,,5,Columbia Tools,Size,"12""",1,0,,"12FFB, Columbia Flat Finisher Box - 12"", Columbia Tools","Columbia Flat Finisher Box - 12""","Shop Columbia Flat Finisher Box - 12"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 12""","Columbia Tools, drywall tools, 12FFB",Columbia Tools,12FFB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"12""","12""",,5,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-shopames-price-validated,12FFB,12FFB,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,14FFB,,"Columbia Flat Finisher Box - 14""",1,0,visible,,<p>Columbia Flat Finisher Box - 14&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Flat Finisher Box</p><p><strong>Configuration:</strong> 14&quot;</p><p><strong>Official SKU / MPN:</strong> 14FFB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,384.00,,,,,,,COL-FLAT-FINISHER-BOX,,,,,,6,Columbia Tools,Size,"14""",1,0,,"14FFB, Columbia Flat Finisher Box - 14"", Columbia Tools","Columbia Flat Finisher Box - 14""","Shop Columbia Flat Finisher Box - 14"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 14""","Columbia Tools, drywall tools, 14FFB",Columbia Tools,14FFB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"14""","14""",,6,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-shopames-price-validated,14 FFB,14FFB,Columbia Flat Finisher Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variable,COL-FAT-BOY-FLAT-BOX,,Columbia Fat Boy Flat Box,0,0,hidden,Columbia Fat Boy Flat Box — catalog-normalized Columbia Tools product.,<p>Columbia Fat Boy Flat Box is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Fat Boy Flat Box</p><p><strong>Official SKU / MPN:</strong> DTB-COL-FAT-BOY-FLAT-BOX</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Boxes,"Columbia,Drywall Finishing Tools",,,,,,,,,,,2,Columbia Tools,Size,"5.5"", 8"", 10"", 12""",1,0,"5.5""","DTB-COL-FAT-BOY-FLAT-BOX, Columbia Fat Boy Flat Box, Columbia Tools",Columbia Fat Boy Flat Box,"Shop Columbia Fat Boy Flat Box, catalog-normalized for professional drywall finishing workflows.",,"noindex,follow",Columbia Fat Boy Flat Box,"Columbia Tools, drywall tools, DTB-COL-FAT-BOY-FLAT-BOX",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-boxes,flat-boxes,0,,,,,5.5FBB,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-validated,,,Columbia Fat Boy Flat Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,5.5FBB,,"Columbia Fat Boy Flat Box - 5.5""",0,0,hidden,,<p>Columbia Fat Boy Flat Box - 5.5&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Fat Boy Flat Box</p><p><strong>Configuration:</strong> 5.5&quot;</p><p><strong>Official SKU / MPN:</strong> 5.5FBB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,COL-FAT-BOY-FLAT-BOX,,,,,,1,Columbia Tools,Size,"5.5""",1,0,,"5.5FBB, Columbia Fat Boy Flat Box - 5.5"", Columbia Tools","Columbia Fat Boy Flat Box - 5.5""","Shop Columbia Fat Boy Flat Box - 5.5"", catalog-normalized for professional drywall finishing workflows.",,"noindex,follow","Columbia Fat Boy Flat Box - 5.5""","Columbia Tools, drywall tools, 5.5FBB",Columbia Tools,5.5FBB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FAT-BOY-FLAT-BOX,Size,"5.5""","5.5""",,1,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-validated,5.5FBB,55FBB,Columbia Fat Boy Flat Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
,variation,8FBB,,"Columbia Fat Boy Flat Box - 8""",0,0,hidden,,<p>Columbia Fat Boy Flat Box - 8&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Fat Boy Flat Box</p><p><strong>Configuration:</strong> 8&quot;</p><p><strong>Official SKU / MPN:</strong> 8FBB</p><p><em>Source reference: 11</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,COL-FAT-BOY-FLAT-BOX,,,,,,2,Columbia Tools,Size,"8""",1,0,,"8FBB, Columbia Fat Boy Flat Box - 8"", Columbia Tools","Columbia Fat Boy Flat Box - 8""","Shop Columbia Fat Boy Flat Box - 8"", catalog-normalized for professional drywall finishing workflows.",,"noindex,follow","Columbia Fat Boy Flat Box - 8""","Columbia Tools, drywall tools, 8FBB",Columbia Tools,8FBB,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FAT-BOY-FLAT-BOX,Size,"8""","8""",,2,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,official-brand-catalog-validated,8FBB,8FBB,Columbia Fat Boy Flat Box,https://www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf
