rel_path,keep,reason,clean_bg,human_likely,white_trans_ratio,border_clean_ratio,skin_ratio,skin_border_ratio
columbia_tools_10fbb_01.webp,False,remove_non_clean_bg,False,False,0.488953,1.0,0.0,0.0
columbia_tools_10fbb_02.webp,True,keep_clean_bg,True,False,0.703003,1.0,0.0,0.0
columbia_tools_10ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_12fbb_01.webp,False,remove_non_clean_bg,False,False,0.488953,1.0,0.0,0.0
columbia_tools_12fbb_02.webp,True,keep_clean_bg,True,False,0.703003,1.0,0.0,0.0
columbia_tools_12ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_14ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_25ah_01.webp,False,remove_non_clean_bg,False,False,0.687131,0.900268,0.0,0.0
columbia_tools_25ah_02.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_25ah_03.webp,False,remove_non_clean_bg,False,False,0.624084,0.767333,0.0,0.0
columbia_tools_25ah_04.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_25ah_05.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_25ah_06.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_25csf_01.webp,False,remove_non_clean_bg,False,False,0.5979,0.905333,0.0,0.0
columbia_tools_25df_01.webp,False,remove_non_clean_bg,False,False,0.470581,0.914667,0.0,0.0
columbia_tools_25df_02.webp,False,remove_non_clean_bg,False,False,0.543335,1.0,0.0,0.0
columbia_tools_25sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_25sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_2ah_01.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_2ah_02.webp,False,remove_non_clean_bg,False,False,0.687131,0.900268,0.0,0.0
columbia_tools_2ah_03.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_2ah_04.webp,False,remove_non_clean_bg,False,False,0.624084,0.767333,0.0,0.0
columbia_tools_2ah_05.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_2ah_06.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_2ns_01.webp,True,keep_clean_bg,True,False,0.580444,0.985333,0.002686,0.0
columbia_tools_2ns_02.webp,False,remove_non_clean_bg,False,False,0.441956,0.969333,0.002625,0.0
columbia_tools_35ah_01.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_35ah_02.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_35ah_03.webp,False,remove_non_clean_bg,False,False,0.624084,0.767333,0.0,0.0
columbia_tools_35ah_04.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_35ah_05.webp,False,remove_non_clean_bg,False,False,0.687131,0.900268,0.0,0.0
columbia_tools_35ah_06.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_35csf_01.webp,False,remove_non_clean_bg,False,False,0.5979,0.905333,0.0,0.0
columbia_tools_35df_01.webp,False,remove_non_clean_bg,False,False,0.470581,0.914667,0.0,0.0
columbia_tools_35df_02.webp,False,remove_non_clean_bg,False,False,0.543335,1.0,0.0,0.0
columbia_tools_35sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_35sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_3ah_01.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_3ah_02.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_3ah_03.webp,False,remove_non_clean_bg,False,False,0.687131,0.900268,0.0,0.0
columbia_tools_3ah_04.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_3ah_05.webp,False,remove_non_clean_bg,False,False,0.624084,0.767333,0.0,0.0
columbia_tools_3ah_06.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_3csf_01.webp,False,remove_non_clean_bg,False,False,0.5979,0.905333,0.0,0.0
columbia_tools_3df_01.webp,False,remove_non_clean_bg,False,False,0.470581,0.914667,0.0,0.0
columbia_tools_3df_02.webp,False,remove_non_clean_bg,False,False,0.543335,1.0,0.0,0.0
columbia_tools_3ns_01.webp,False,remove_non_clean_bg,False,False,0.441956,0.969333,0.002625,0.0
columbia_tools_3ns_02.webp,True,keep_clean_bg,True,False,0.580444,0.985333,0.002686,0.0
columbia_tools_3sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_3sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_3wtcsf_01.webp,False,remove_non_clean_bg,False,False,0.5979,0.905333,0.0,0.0
columbia_tools_3wtdf_01.webp,False,remove_non_clean_bg,False,False,0.470581,0.914667,0.0,0.0
