"sku","total_images","ok_or_exists","failed","sample_error"
"4-600P","3","0","3","http_404"
"4-600P::5-777","3","0","3","http_404"
"4-630","3","0","3","http_404"
"4-650","3","0","3","http_404"
"4-650::4-708","3","0","3","http_404"
"4-650::4-722","3","0","3","http_404"
"4-650::4-723","3","0","3","http_404"
"4-650::4-741","3","0","3","http_404"
"4-650::4-744","3","0","3","http_404"
"4-650::4-775","3","0","3","http_404"
"4-650::5-311","3","0","3","http_404"
"4-661P","3","0","3","http_404"
"4-661P::4-772","3","0","3","http_404"
"4-677P","3","0","3","http_404"
"4-677P::4-772","3","0","3","http_404"
"4-687P","3","0","3","http_404"
"4-687P::4-772","3","0","3","http_404"
"4-722","3","0","3","http_404"
"4-723","3","0","3","http_404"
"4-741","3","0","3","http_404"
"4-743","3","0","3","http_404"
"4-744","3","0","3","http_404"
"4-746","3","0","3","http_404"
"4-772","3","0","3","http_404"
"4-773","3","0","3","http_404"
"5-311","3","0","3","http_404"
