"sku","total_images","ok_or_exists","failed","sample_error"
"4-600P::4-712","3","1","2","http_404"
"4-600P::4-714","3","2","1","http_404"
"4-600P::4-765","3","1","2","http_404"
"4-600P::4-766","3","1","2","http_404"
"4-600P::4-771","3","2","1","http_404"
"4-600P::4-778","3","1","2","http_404"
"4-600P::4-779","3","1","2","http_404"
"4-600P::5-623","3","1","2","http_404"
"4-602","3","1","2","http_404"
"4-602::4-712","3","1","2","http_404"
"4-602::4-765","3","1","2","http_404"
"4-602::4-766","3","1","2","http_404"
"4-602::4-771","3","2","1","http_404"
"4-602::4-777","3","1","2","http_404"
"4-602::4-778","3","1","2","http_404"
"4-602::4-779","3","1","2","http_404"
"4-605","3","1","2","http_404"
"4-605::4-765","3","1","2","http_404"
"4-605::4-766","3","1","2","http_404"
"4-605::4-771","3","2","1","http_404"
"4-605::4-780","3","1","2","http_404"
"4-629","3","1","2","http_404"
"4-629::4-768","3","2","1","image file is truncated (17 bytes not processed)"
"4-629::4-771","3","2","1","http_404"
"4-629::4-780","3","1","2","http_404"
"4-630::4-714","3","2","1","http_404"
"4-630::4-771","3","2","1","http_404"
"4-630::4-777","3","1","2","http_404"
"4-650::4-712","3","1","2","http_404"
"4-661P::4-714","3","2","1","http_404"
"4-661P::4-765","3","1","2","http_404"
"4-661P::4-766","3","1","2","http_404"
"4-661P::4-771","3","2","1","http_404"
"4-661P::4-780","3","1","2","http_404"
"4-661P::4-792","3","1","2","http_404"
"4-661P::4-795","3","1","2","http_404"
"4-661P::5-623","3","1","2","http_404"
"4-677P::4-712","3","1","2","http_404"
"4-677P::4-714","3","2","1","http_404"
"4-677P::4-755","3","2","1","image file is truncated (19 bytes not processed)"
"4-677P::4-765","3","1","2","http_404"
"4-677P::4-766","3","1","2","http_404"
"4-677P::4-771","3","2","1","http_404"
"4-677P::4-792","3","1","2","http_404"
"4-677P::4-795","3","1","2","http_404"
"4-677P::5-623","3","1","2","http_404"
"4-687P::4-623","3","1","2","http_404"
"4-687P::4-768","3","2","1","image file is truncated (17 bytes not processed)"
"4-687P::4-771","3","2","1","http_404"
"4-687P::4-780","3","1","2","http_404"
"4-687P::4-792","3","1","2","http_404"
"4-687P::4-795","3","1","2","http_404"
"4-711","3","1","2","http_404"
"4-712","3","1","2","http_404"
"4-714","3","2","1","http_404"
"4-715","3","1","2","http_404"
"4-740","3","1","2","http_404"
"4-755","3","2","1","image file is truncated (19 bytes not processed)"
"4-759","3","1","2","http_404"
"4-765","3","1","2","http_404"
"4-766","3","1","2","http_404"
"4-768","3","2","1","image file is truncated (17 bytes not processed)"
"4-771","3","2","1","http_404"
"4-778","3","1","2","http_404"
"4-779","3","1","2","http_404"
"4-780","3","1","2","http_404"
"4-781","3","1","2","http_404"
"4-782","3","1","2","http_404"
"4-794","3","1","2","http_404"
"4-795","3","1","2","http_404"
"4-798","3","1","2","http_404"
"4-799","3","1","2","http_404"
"5-623","3","1","2","http_404"
