brand,sku,universal_sku,name,source_url,output_file,status,error
LEVEL5,4-701,4-701,7” Corner Applicator,https://www.zoro.com/static/cms/product/large/Grainger_4xx701xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_701_01.webp,exists,
LEVEL5,4-702,4-702,8” Corner Applicator,https://www.zoro.com/static/cms/product/large/Grainger_4xx702xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_702_01.webp,exists,
LEVEL5,4-732,4-732,2.5” Corner Finisher,https://www.zoro.com/static/cms/product/large/Grainger_4xx732xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_732_01.webp,exists,
LEVEL5,4-733,4-733,3” Corner Finisher,https://www.zoro.com/static/cms/product/large/Grainger_4xx733xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_733_01.webp,exists,
LEVEL5,4-734,4-734,3.5” Corner Finisher,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_734_01.webp,exists,
LEVEL5,4-734,4-734,3.5” Corner Finisher,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx3.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_734_02.webp,exists,
LEVEL5,4-734,4-734,3.5” Corner Finisher,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx2.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_734_03.webp,exists,
LEVEL5,4-735,4-735,4” Corner Finisher,https://www.zoro.com/static/cms/product/large/Grainger_4xx735xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_735_01.webp,exists,
LEVEL5,4-743,4-743,3” Corner Flusher,https://www.zoro.com/static/cms/product/large/Grainger_4xx743xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_743_01.webp,failed,http_404
LEVEL5,4-744,4-744,3.5” Corner Flusher,https://www.zoro.com/static/cms/product/large/Grainger_4xx744xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_744_01.webp,failed,http_404
LEVEL5,4-794,4-794,31”- 50” Ext Handle (Corner Applicator),https://www.zoro.com/static/cms/product/large/Grainger_4xx794xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_794_01.webp,exists,
LEVEL5,4-798,4-798,43”- 72” Ext Handle (Corner Applicator),https://www.zoro.com/static/cms/product/large/Grainger_4xx798xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_798_01.webp,exists,
LEVEL5,4-795,4-795,31”- 50” Ext Handle (Corner Finisher),https://www.zoro.com/static/cms/product/large/Grainger_4xx795xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_795_01.webp,exists,
LEVEL5,4-799,4-799,43”- 72” Ext Handle (Corner Finisher),https://www.zoro.com/static/cms/product/large/Grainger_4xx799xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_799_01.webp,exists,
LEVEL5,4-759,4-759,48” - 78” Ext. Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx759xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_759_01.webp,exists,
LEVEL5,4-780,4-780,40” - 62” Ext. Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx780xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_780_01.webp,exists,
LEVEL5,4-781,4-781,30” - 42” Ext. Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx781xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_781_01.webp,exists,
LEVEL5,4-782,4-782,23” - 32” Ext. Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx782xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_782_01.webp,exists,
LEVEL5,4-711,4-711,34” Fixed Length Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx711xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_711_01.webp,exists,
LEVEL5,4-712,4-712,42” Fixed Length Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx712xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_712_01.webp,exists,
LEVEL5,4-740,4-740,54” Fixed Length Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx740xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_740_01.webp,exists,
LEVEL5,4-767,4-767,7” Flat Box (MEGA),https://www.zoro.com/static/cms/product/large/Grainger_4xx767xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_767_01.webp,exists,
LEVEL5,4-768,4-768,10” Flat Box (MEGA),https://www.zoro.com/static/cms/product/large/Z-x_K4mcpEx_.JPG,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_768_01.webp,exists,
LEVEL5,4-769,4-769,12” Flat Box (MEGA),https://www.zoro.com/static/cms/product/large/Grainger_4xx769xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_769_01.webp,exists,
LEVEL5,4-722,4-722,10” Flat Box,https://www.zoro.com/static/cms/product/large/Grainger_4xx722xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_722_01.webp,failed,http_404
