old_file_name,new_file_name
asgard-ADTAPINGFIXED-01.webp,asgard-adtapingfixed-ADTAPINGFIXED-01.webp
asgard-AGFINISHEXT-01.webp,asgard-agfinishext-AGFINISHEXT-01.webp
asgard-AGFINISHMAXXEXT-01.webp,asgard-agfinishmaxxext-AGFINISHMAXXEXT-01.webp
asgard-AGFINISHPAEXT-01.webp,asgard-agfinishpaext-AGFINISHPAEXT-01.webp
asgard-AGFULLEXT-01.webp,asgard-agfullext-AGFULLEXT-01.webp
asgard-AGFULLMAXEXT-01.webp,asgard-agfullmaxext-AGFULLMAXEXT-01.webp
asgard-AGFULLPAEXT-01.webp,asgard-agfullpaext-AGFULLPAEXT-01.webp
asgard-AGTAPINGEXT-01.webp,asgard-agtapingext-AGTAPINGEXT-01.webp
asgard-AH25-AD-01.webp,asgard-asgard-angle-head-2-5-AH25-AD-01.webp
asgard-AH30-AD-01.webp,asgard-asgard-angle-head-3-AH30-AD-01.webp
asgard-AH35-AD-01.webp,asgard-asgard-angle-head-3-5-AH35-AD-01.webp
asgard-AT01-AD-01.webp,asgard-asgard-the-hammer-automatic-taper-AT01-AD-01.webp
asgard-BBH-AD-01.webp,asgard-asgard-brakeless-box-handle-fixed-length-34-BBH-AD-01.webp
asgard-BBHE-AD-01.webp,asgard-asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-01.webp
asgard-CA08-AD-01.webp,asgard-asgard-applicator-box-head-only-CA08-AD-01.webp
asgard-CA08-AD-FH-AD-01.webp,asgard-asgard-fiberglass-handle-43-FH-AD-01.webp
asgard-CA08-AD-XH-AD-01.webp,asgard-asgard-extension-support-handle-43-to-76-XH-AD-01.webp
asgard-CFA-AD-01.webp,asgard-asgard-angle-head-adapter-CFA-AD-01.webp
asgard-CR01-AD-01.webp,asgard-asgard-inside-corner-roller-head-only-CR01-AD-01.webp
asgard-CR01-AD-FH-AD-01.webp,asgard-asgard-fiberglass-handle-43-FH-AD-02.webp
asgard-CR01-AD-XH-AD-01.webp,asgard-asgard-extension-support-handle-43-to-76-XH-AD-02.webp
asgard-EHC07-AD-01.webp,asgard-asgard-maxxbox-finishing-box-7-EHC07-AD-01.webp
asgard-EHC10-AD-01.webp,asgard-asgard-maxxbox-finishing-box-10-EHC10-AD-01.webp
asgard-EHC12-AD-01.webp,asgard-asgard-maxxbox-finishing-box-12-EHC12-AD-01.webp
asgard-EZ07-AD-01.webp,asgard-asgard-finishing-box-7-EZ07-AD-01.webp
asgard-EZ10-AD-01.webp,asgard-asgard-finishing-box-10-EZ10-AD-01.webp
asgard-EZ12-AD-01.webp,asgard-asgard-finishing-box-12-EZ12-AD-01.webp
asgard-FA01-AD-01.webp,asgard-fa01-ad-FA01-AD-01.webp
asgard-FBHE-AD-01.webp,asgard-asgard-extendable-finishing-box-handle-41-63-FBHE-AD-01.webp
asgard-FH-AD-01.webp,asgard-asgard-fiberglass-handle-43-FH-AD-03.webp
asgard-GN01-AD-01.webp,asgard-asgard-gooseneck-adapter-GN01-AD-01.webp
asgard-LP01-AD-01.webp,asgard-asgard-loading-pump-LP01-AD-01.webp
asgard-NS03-AD-01.webp,asgard-asgard-nail-spotter-head-only-NS03-AD-01.webp
asgard-PA07-AD-01.webp,asgard-asgard-power-assist-maxxbox-finishing-box-7-PA07-AD-01.webp
asgard-PA10-AD-01.webp,asgard-asgard-power-assist-maxxbox-finishing-box-10-PA10-AD-01.webp
asgard-PA12-AD-01.webp,asgard-asgard-power-assist-maxxbox-finishing-box-12-PA12-AD-01.webp
asgard-XH-AD-01.webp,asgard-asgard-extension-support-handle-43-to-76-XH-AD-03.webp
columbia-1-01.webp,columbia-1-1-01.webp
columbia-1-02.webp,columbia-1-1-02.webp
columbia-1-03.webp,columbia-1-1-03.webp
columbia-1-04.webp,columbia-1-1-04.webp
columbia-10-01.webp,columbia-10-10-01.webp
columbia-12-01.webp,columbia-12-12-01.webp
columbia-14-01.webp,columbia-14-14-01.webp
columbia-18-01.webp,columbia-18-18-01.webp
columbia-2-01.webp,columbia-2-2-01.webp
columbia-2-02.webp,columbia-2-2-02.webp
columbia-2-03.webp,columbia-2-2-03.webp
columbia-2-10-01.webp,columbia-2-10-2-10-01.webp
columbia-2-12-01.webp,columbia-2-12-2-12-01.webp
columbia-2-14-01.webp,columbia-2-14-2-14-01.webp
columbia-2-2-01.webp,columbia-2-2-2-2-01.webp
columbia-2-2-5-01.webp,columbia-2-2-5-2-2-5-01.webp
columbia-2-3-01.webp,columbia-2-3-2-3-01.webp
columbia-2-3-5-01.webp,columbia-2-3-5-2-3-5-01.webp
columbia-2-5AH-01.webp,columbia-columbia-angle-head-2-5-2-5AH-01.webp
columbia-2-5AH-02.webp,columbia-columbia-angle-head-2-5-2-5AH-02.webp
columbia-2-5AH-03.webp,columbia-columbia-angle-head-2-5-2-5AH-03.webp
columbia-2-5CSF-01.webp,columbia-columbia-combo-flusher-2-5-2-5CSF-01.webp
columbia-2-5DF-01.webp,columbia-columbia-direct-flusher-2-5-2-5DF-01.webp
columbia-2-5SF-01.webp,columbia-columbia-standard-flusher-2-5-2-5SF-01.webp
columbia-2-5SF-02.webp,columbia-columbia-standard-flusher-2-5-2-5SF-02.webp
columbia-2-8-01.webp,columbia-2-8-2-8-01.webp
columbia-24-01.webp,columbia-24-24-01.webp
columbia-2AH-01.webp,columbia-columbia-angle-head-2-2AH-01.webp
columbia-2AH-02.webp,columbia-columbia-angle-head-2-2AH-02.webp
columbia-2AH-03.webp,columbia-columbia-angle-head-2-2AH-03.webp
columbia-2NS-01.webp,columbia-columbia-nail-spotter-2-2NS-01.webp
columbia-3-01.webp,columbia-3-3-01.webp
columbia-3-5AH-01.webp,columbia-columbia-angle-head-3-5-3-5AH-01.webp
columbia-3-5AH-02.webp,columbia-columbia-angle-head-3-5-3-5AH-02.webp
columbia-3-5AH-03.webp,columbia-columbia-angle-head-3-5-3-5AH-03.webp
columbia-32-01.webp,columbia-32-32-01.webp
columbia-36-01.webp,columbia-36-36-01.webp
columbia-3AH-01.webp,columbia-columbia-angle-head-3-3AH-01.webp
columbia-3AH-02.webp,columbia-columbia-angle-head-3-3AH-02.webp
columbia-3AH-03.webp,columbia-columbia-angle-head-3-3AH-03.webp
columbia-3NS-01.webp,columbia-columbia-nail-spotter-3-3NS-01.webp
columbia-3WTDF-01.webp,columbia-columbia-direct-flusher-3-widetrack-3WTDF-01.webp
columbia-4-01.webp,columbia-4-4-01.webp
columbia-40-01.webp,columbia-40-40-01.webp
columbia-41-01.webp,columbia-41-41-01.webp
columbia-41-02.webp,columbia-41-41-02.webp
columbia-42-01.webp,columbia-42-42-01.webp
columbia-42A-02.webp,columbia-42a-42A-02.webp
columbia-48-01.webp,columbia-48-48-01.webp
columbia-5-01.webp,columbia-5-5-01.webp
columbia-5-2-01.webp,columbia-5-2-5-2-01.webp
columbia-5-3-01.webp,columbia-5-3-5-3-01.webp
columbia-5-5-01.webp,columbia-5-5-5-5-01.webp
columbia-5-5FFB-01.webp,columbia-columbia-flat-finishing-box-5-5-5-5FFB-01.webp
columbia-5-5FFB-02.webp,columbia-columbia-flat-finishing-box-5-5-5-5FFB-02.webp
columbia-6-01.webp,columbia-6-6-01.webp
