
Brand,Category,Product_Name,Variation/Size,MPN,Key_Features,Reason_for_Inclusion,Source_Citation
Columbia,Angle Heads,2.5” Angle Head,2.5”,2.5AH,Larger size for finishing broader angles; billet aluminum construction.,Offers size options for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=9%20ANGLE%20HEADS%20Columbia%20Angle,Angle%20Head%20Angle%20Head%20Adapter
Columbia,Angle Heads,2” Angle Head,2”,2AH,Precision machined billet aluminum head; stainless steel wings; finishes internal angles evenly.,Produces consistent corners; essential after roller.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=9%20ANGLE%20HEADS%20Columbia%20Angle,Angle%20Head%20Angle%20Head%20Adapter
Columbia,Angle Heads,3.5” Angle Head,3.5”,3.5AH,Largest standard angle head; durable billet aluminum and stainless steel.,For finishing wide internal corners.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=9%20ANGLE%20HEADS%20Columbia%20Angle,Angle%20Head%20Angle%20Head%20Adapter
Columbia,Angle Heads,3” Angle Head,3”,3AH,Finishes 3” internal corners; precision machining ensures smooth finish.,Provides a medium width option for drywall corners.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=9%20ANGLE%20HEADS%20Columbia%20Angle,Angle%20Head%20Angle%20Head%20Adapter
Columbia,Angle Heads,Angle Head Adapter,Adapter,AHA,Adapter for connecting angle heads to handles; ensures compatibility.,Necessary accessory to use angle heads with handles.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=9%20ANGLE%20HEADS%20Columbia%20Angle,Angle%20Head%20Angle%20Head%20Adapter
Columbia,Applicator Heads,External 90° Applicator,External 90°,CEXT90,Applies compound to external 90-degree corners; durable construction.,Prepares outside corners for finishing.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,Flat Applicator,Flat,CFLT,Applies compound across flat surfaces; used with compound tubes.,Provides even compound distribution on flats before smoothing.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,L-Trim Applicator,Plastic,FMH,Plastic applicator for L-trim and reveals; durable UHMW design.,Applies compound to L-trim without damage.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,Inside 90° Applicator,Plastic,IA90,Plastic applicator for inside 90° angles; consistent mud distribution.,Speeds up pre-filling on inside corners.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,Inside Corner Applicator,2-wheel (1”),ICA2-1,Two-wheel applicator for inside corners; precision application on small angles.,Compact applicator for inside corners.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,Inside Corner Applicator,4-wheel (1”),ICA4-1,Four-wheel applicator provides smooth glide; 1” width for narrow corners.,Ensures consistent compound application in tight corners.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,Two-Way Internal Corner Applicator,4-wheel,ICATW,4-wheel design glides easily in corners; applies compound evenly inside corners.,Essential for applying compound before using corner flushers.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Applicator Heads,Outside 90° Applicator,Plastic,OA90,Plastic applicator for outside 90° angles; durable design.,Prepares outside corners for finishing heads.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
