brand,official_sku,normalized_sku,issue_type,official_name,tsw_name,official_present,tsw_present,notes
Columbia,10FBB,10FBB,name_mismatch,"10"" Fat Boy Flat Box","Columbia 10"" Fat Boy Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,10FBBA,10FBBA,name_mismatch,"10"" Automatic Fat Boy Box","Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,10FFB,10FFB,name_mismatch,"10"" Flat Finisher Box","Columbia 10"" Flat Finishing Box",1,1,Official and TSW names differ after normalization.
Columbia,10FFBA,10FFBA,name_mismatch,"10"" Automatic Flat Box","Columbia 10"" Automatic Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,12FBB,12FBB,name_mismatch,"12"" Fat Boy Flat Box","Columbia 12"" Fat Boy Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,12FBBA,12FBBA,name_mismatch,"12"" Automatic Fat Boy Box","Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,12FFB,12FFB,name_mismatch,"12"" Flat Finisher Box","Columbia 12"" Flat Finishing Box",1,1,Official and TSW names differ after normalization.
Columbia,12FFBA,12FFBA,name_mismatch,"12"" Automatic Flat Box","Columbia 12"" Automatic Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,14 FFB,14FFB,name_mismatch,"14"" Flat Finisher Box","Columbia 14"" Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,14FFBA,14FFBA,name_mismatch,"14"" Automatic Flat Box","Columbia 14"" Automatic Flat Box",1,1,Official and TSW names differ after normalization.
Columbia,2.5AH,25AH,name_mismatch,"2.5"" Angle Head",Columbia 2.5″ Anglehead,1,1,Official and TSW names differ after normalization.
Columbia,2.5CSF,25CSF,name_mismatch,"2.5"" Combo Flusher","Columbia 2.5"" Combo Flusher",1,1,Official and TSW names differ after normalization.
Columbia,2.5DF,25DF,name_mismatch,"2.5"" Direct Flusher","Columbia 2.5"" Direct Corner Flusher",1,1,Official and TSW names differ after normalization.
Columbia,2.5SF,25SF,name_mismatch,"2.5"" Standard Flusher","Columbia 2.5"" Standard Corner Flusher",1,1,Official and TSW names differ after normalization.
Columbia,2AH,2AH,name_mismatch,"2"" Angle Head",Columbia 2″ Anglehead,1,1,Official and TSW names differ after normalization.
Columbia,2NS,2NS,name_mismatch,"2"" Nail Spotter",Columbia 2″ Nailspotter,1,1,Official and TSW names differ after normalization.
Columbia,3.5AH,35AH,name_mismatch,"3.5"" Angle Head",Columbia 3.5″ Anglehead,1,1,Official and TSW names differ after normalization.
Columbia,3.5CSF,35CSF,name_mismatch,"3.5"" Combo Flusher","Columbia 3.5"" Combo Flusher",1,1,Official and TSW names differ after normalization.
