Brands,Type,SKU,MPN,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,Meta: _dtb_seo_title,Meta: _dtb_seo_description,Meta: _mpn,Meta: _csr_product_id,Meta: _csr_handle,Meta: _dtb_seo_focus_kw,Meta: _dtb_seo_canonical,Meta: _dtb_seo_noindex
TapeTech,simple,MRX01TT,MRX01TT,,TapeTech MudRunner Pro Handle Extension,1,0,visible,The new MudRunner® Pro Extension allows the user to add 12″ length to the MR01TT to reach higher spaces. The MRX01TT simply attaches by inserting the extrusion piece into the receiving port on the MR01TT and securing the clamps. The MRX01TT also has…,"<p>The new MudRunner® Pro Extension allows the user to add 12″ length to the MR01TT to reach higher spaces. The MRX01TT simply attaches by inserting the extrusion piece into the receiving port on the MR01TT and securing the clamps. The MRX01TT also has a receiving port to add multiple extensions. The New MudRunner® Pro Extension adds up to 20% more overall length to the MudRunner® Pro when installed. Due to the installment process, the extension becomes the “on/off” twisting lever for the tool.</p>",,,taxable,,1,,,0,0,5.00,,,,1,,,250.60,Drywall Finishing Tools > TapeTech > Automatic Tapers,"automatic compound tube, compound tube, MRX01TT, mud runner, mud shot, mudrunner, mudshot, mudshot extension, mudshot handle, TapeTech, Automatic Taping Tools",,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/18474_TapeTechMRX01TT_001.jpg?v=1776955756,,,,,,,,,1,Brand,TapeTech,1,1,0,,,,,,TapeTech MudRunner Pro Handle Extension,The new MudRunner® Pro Extension allows the user to add 12″ length to the MR01TT to reach higher spaces. The MRX01TT simply attaches by inserting the…,MRX01TT,15041163919726,tapetech-mudrunner-pro-handle-extension,tapetech mudrunner pro handle extension,,
Columbia Taping Tools,simple,FSBSET,FSBSET,,Columbia Fat Boy Smoothing Blade Set,1,0,visible,"Upgrade your finishing game with this premium Fat Boy Smoothing Blades Set, designed for precision, durability, and ultra-smooth results on every job. Built for professional drywall finishers and contractors, these blades deliver consistent…","<p>Upgrade your finishing game with this premium Fat Boy Smoothing Blades Set, designed for precision, durability, and ultra-smooth results on every job. Built for professional drywall finishers and contractors, these blades deliver consistent performance whether you're working on large surfaces or detailed touch-ups.</p>
<p>Each blade is crafted from high-quality stainless steel, providing the perfect balance of flexibility and rigidity for flawless feathering and minimal lines. The ergonomic design ensures comfortable handling, reducing fatigue during extended use.</p>
<p>This complete set includes multiple blade sizes, giving you the versatility to tackle a wide range of finishing applications—from tight corners to wide surface smoothing.</p>
<h3>Features</h3>
<ul>
<li>High-grade stainless steel blades for long-lasting performance</li>
<li>Precision-engineered edges for smooth, clean finishes</li>
<li>Lightweight and ergonomic for improved control and comfort</li>
<li>Ideal for drywall finishing, plaster, and skim coating</li>
<li>Versatile size range for all stages of finishing work</li>
</ul>",,,taxable,,1,,,0,0,22.00,,,,1,,,599.00,Drywall Finishing Tools > Columbia Taping Tools > Taping & Finishing Tools,"colombia, Columbia, Columbia Set, columbia sets, Columbia Taping Tools, FSBSET, set, smoothing blade, warrior set, Taping & Finishing Tools",,"https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FSBSET.jpg?v=1774549726, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FSB32.jpg?v=1774551653, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FSB18.jpg?v=1774551653, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FSB14.jpg?v=1774551653, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FSB7.jpg?v=1774552183, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FTH5-8.jpg?v=1774552183, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FSBC.jpg?v=1774552183, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/MR9-0-7C.jpg?v=1774552148, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/3WJKBP.jpg?v=1774552148, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/91CGMT.jpg?v=1774552148",,,,,,,,,2,Brand,Columbia Taping Tools,1,1,0,,,,,,Columbia Fat Boy Smoothing Blade Set,"Upgrade your finishing game with this premium Fat Boy Smoothing Blades Set, designed for precision, durability, and ultra-smooth results on every job.…",FSBSET,15015828619630,columbia-fat-boy-smoothing-blade-set,columbia fat boy smoothing blade set,,
Columbia Taping Tools,simple,TT,TT,,Columbia Throttle Tube,1,0,visible,"Columbia Tools is excited to introduce the newest addition to the Carbon Fiber family — the ThrottleTube. Built for professional drywall finishers, the ThrottleTube is designed to deliver joint compound to corners quickly, smoothly and with precise…","<p>Columbia Tools is excited to introduce the newest addition to the Carbon Fiber family — the ThrottleTube.</p>
<p>Built for professional drywall finishers, the ThrottleTube is designed to deliver joint compound to corners quickly, smoothly and with precise control. This tool features a  carbon fiber tube, providing superior strength and durability compared to traditional plastic tube designs while keeping the tool balanced and easy to handle.</p>
<p>A simple twist of the grip activates the internal piston, allowing compound to flow smoothly when needed and stopping instantly with a release of the twist for full control during application.</p>
<p>The white mud level indicator rod clearly shows the compound level. As the tube is filled, the rod extends outward, and when the red indicator becomes visible, it signals the tube is full. As compound is used, the rod gradually retracts back into the tube.</p>
<p>With its large compound capacity and extended reach, the ThrottleTube allows finishers to work longer with fewer refills, improving efficiency on the job.</p>
<p>Pair the ThrottleTube with Columbia Angleheads for fast, clean internal corner finishing, or use it with applicators to apply compound to inside and outside corners.</p>
<h3>Features</h3>
<ul>
<li>Carbon Fiber Tube – stronger and lighter than plastic designs</li>
<li>Level Indicator – easily see when the tool is full or empty</li>
<li>Twist Grip Flow Control – smooth delivery with instant shut-off</li>
<li>Large Capacity – holds more compound than standard corner boxes</li>
</ul>",,,taxable,,1,,,0,0,10.00,,,,1,,,1149.00,Drywall Finishing Tools > Columbia Taping Tools > Automatic Tapers,"automatic compound tube, compound tube, dewalt drywall tools, mud runner, mud shot, throttletube, TT, Columbia, Automatic Taping Tools",,"https://cdn.shopify.com/s/files/1/0277/6678/4139/files/TT-1.jpg?v=1774541064, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/TT-2.jpg?v=1774541064",,,,,,,,,3,Brand,Columbia Taping Tools,1,1,0,,,,,,Columbia Throttle Tube,"Columbia Tools is excited to introduce the newest addition to the Carbon Fiber family — the ThrottleTube. Built for professional drywall finishers, the…",TT,15015742243182,columbia-throttle-tube,columbia throttle tube,,
Columbia Taping Tools,variable,CGPK,CGPK,,Columbia Stainless Steel Joint Knife with Soft Grip Handle,1,0,visible,"Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed, precision, comfort, and durability on every job. Competitively priced, these stainless steel knives offer unbeatable value—comparable…","<p>Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed, precision, comfort, and durability on every job.</p>
<p>Competitively priced, these stainless steel knives offer unbeatable value—comparable to the cost of carbon steel.</p>
<h3>Features</h3>
<ul>
<li>Medium-flex stainless <strong>steel blades glide</strong> smoothly across the surface, delivering consistent coats and faster finishing with less fatigue.</li>
<li>Rubberized <strong>comfort grip handle</strong> is shaped to give you maximum control and minimal strain, with the most comfort.</li>
<li>Built with high-performance materials and field-tested design – these knives are ready to handle the toughest sites and the longest days.</li>
</ul>
<h3>Available Sizes &amp; Part #:</h3>
<ul>
<li>4” Columbia Joint Knife - CGPK4</li>
<li>5” Columbia Joint Knife - CGPK5</li>
<li>
<meta charset=""utf-8"">6” Columbia Joint Knife - CGPK6<meta charset=""utf-8"">
</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Taping Tools > Taping & Finishing Tools,"CGPK4, CGPK5, CGPK6, stainlessteel taping knife, taping knife, Columbia, Taping & Finishing Tools",,"https://cdn.shopify.com/s/files/1/0277/6678/4139/files/CGPK4.jpg?v=1774538787, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/CGPK5.jpg?v=1774538787, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/CGPK6.jpg?v=1774538787",,,,,,,,,4,Brand,Columbia Taping Tools,1,1,0,Size,"4"" | 5 | 6""",1,1,1,Columbia Stainless Steel Joint Knife with Soft Grip Handle,"Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed, precision, comfort, and durability on…",CGPK,15015694303598,columbia-stainless-steel-joint-knife-with-soft-grip-handle,columbia stainless steel joint knife with soft grip handle,,
Columbia Taping Tools,variation,CGPK4,CGPK4,,Columbia Stainless Steel Joint Knife with Soft Grip Handle,1,0,visible,,,,,taxable,,1,,,0,0,2.00,,,,0,,,18.97,,,,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/CGPK4.jpg?v=1774538787,,,CGPK,,,,,,1,Brand,Columbia Taping Tools,1,1,0,Size,"4""",1,1,1,"Columbia Stainless Steel Joint Knife with Soft Grip Handle – 4""","Columbia Stainless Steel Joint Knife with Soft Grip Handle – 4"". Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed,…",CGPK4,15015694303598,columbia-stainless-steel-joint-knife-with-soft-grip-handle,,,
Columbia Taping Tools,variation,CGPK5,CGPK5,,Columbia Stainless Steel Joint Knife with Soft Grip Handle,1,0,visible,,,,,taxable,,1,,,0,0,2.00,,,,0,,,20.12,,,,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/CGPK5.jpg?v=1774538787,,,CGPK,,,,,,2,Brand,Columbia Taping Tools,1,1,0,Size,5,1,1,1,Columbia Stainless Steel Joint Knife with Soft Grip Handle – 5,"Columbia Stainless Steel Joint Knife with Soft Grip Handle – 5. Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed,…",CGPK5,15015694303598,columbia-stainless-steel-joint-knife-with-soft-grip-handle,,,
Columbia Taping Tools,variation,CGPK6,CGPK6,,Columbia Stainless Steel Joint Knife with Soft Grip Handle,1,0,visible,,,,,taxable,,1,,,0,0,2.00,,,,0,,,21.27,,,,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/CGPK6.jpg?v=1774538787,,,CGPK,,,,,,3,Brand,Columbia Taping Tools,1,1,0,Size,"6""",1,1,1,"Columbia Stainless Steel Joint Knife with Soft Grip Handle – 6""","Columbia Stainless Steel Joint Knife with Soft Grip Handle – 6"". Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed,…",CGPK6,15015694303598,columbia-stainless-steel-joint-knife-with-soft-grip-handle,,,
Columbia Taping Tools,simple,COLHTBDL15,COLHTBDL15,,Columbia Mud Roller and Putty Knife Set,1,0,visible,"The Columbia Mud Roller and Putty Knife Set is the ideal all-in-one solution for professionals who need speed, consistency, and precision when applying and finishing compounds. Designed for efficiency on the jobsite, this kit combines Columbia’s…","<p>The Columbia Mud Roller and Putty Knife Set is the ideal all-in-one solution for professionals who need speed, consistency, and precision when applying and finishing compounds. Designed for efficiency on the jobsite, this kit combines Columbia’s trusted tools to help you spread, smooth, and finish coatings with minimal effort and maximum control.</p>
<p>The mud roller ensures fast and even compound application across large surfaces, while the included putty knives and finishing tools provide the accuracy needed for detailed work and clean edges. Each component is built with durability and comfort in mind, allowing professionals to work longer with consistent results.</p>
<p>Whether you're applying compound, smoothing surfaces, or completing detailed finishing work, the Columbia Mud Roller and Putty Knife Set delivers the performance and reliability professionals expect from Columbia Tools.</p>",,,taxable,,1,,,0,0,,,,,1,,,267.90,Drywall Finishing Tools > Columbia Taping Tools > Taping & Finishing Tools,"Columbia, Taping & Finishing Tools",,"https://cdn.shopify.com/s/files/1/0277/6678/4139/files/COLHTBDL15.jpg?v=1773241224, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/OPPK6.jpg?v=1773241427, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/OPPK5.jpg?v=1773241427, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/OPPK4.jpg?v=1773241427, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/OPPK10-1.jpg?v=1773241427, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FMRAF9.jpg?v=1741374640, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FMRAF1-5.jpg?v=1741374640, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/12inch.jpg?v=1773319571, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/1511DDP-1.jpg?v=1773319571, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/1511DDP-2.jpg?v=1773319571",,,,,,,,,5,Brand,Columbia Taping Tools,1,1,0,,,,,,Columbia Mud Roller and Putty Knife Set,"The Columbia Mud Roller and Putty Knife Set is the ideal all-in-one solution for professionals who need speed, consistency, and precision when applying…",COLHTBDL15,14977297056110,columbia-mud-roller-and-putty-knife-set,columbia mud roller and putty knife set,,
Level 5 Tools,variable,L5-14987962646894,L5-14987962646894,,Level 5 Skimming Blade Extension Handle with Skimming Blade Pole Adapter,1,0,visible,"Manufactured from high-quality fiberglass, aluminum, and high-impact ABS composite, the LEVEL5 Skimming Blade Extension Handle provides lightweight handling while maintaining excellent rigidity and durability. Available in Long (48–87"") length. The…","<p>Manufactured from high-quality fiberglass, aluminum, and high-impact ABS composite, the LEVEL5 Skimming Blade Extension Handle provides lightweight handling while maintaining excellent rigidity and durability. Available in Long (48–87"") length.</p>
<p>The included LEVEL5 Skimming Blade Pole Adapter connects extension handles to LEVEL5 Composite-Body Skimming Blades, allowing professionals to comfortably finish high walls and ceilings while improving speed and reducing strain on the wrists and back. The adapter is constructed from durable glass-filled composite and features a secure snap-in design with locking buttons to prevent wobbling or rotation during use. A thumb screw allows the blade to be set at a range of working angles for optimal control.</p>
<h3>Features</h3>
<ul>
<li>Lightweight fiberglass and aluminum handle construction</li>
<li>Snap-in handle connection that won’t rotate under pressure</li>
<li>Durable glass-filled composite pole adapter</li>
<li>Quick-release adapter design for fast handle changes</li>
<li>Centering lines ensure proper blade alignment and balanced pressure</li>
<li>Comfortable rubber grip for improved handling</li>
</ul>
<p><strong>Skimming blade sold separately.</strong></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Level 5 Tools > Taping & Finishing Tools,"4-945, blade, clearance, finishing blade, finishing blades, level 5 skim blade, level5, pole, skim blade, skimming blades, smoothing blade, wiping blade, Level 5, Taping & Finishing Tools",,"https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-1.jpg?v=1773222954, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-4.jpg?v=1773222954, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-2.jpg?v=1773222954, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-3.jpg?v=1773222954",,,,,,,,,6,Brand,Level 5 Tools,1,1,0,Size,4' - 7' Telescopic,1,1,1,Level 5 Skimming Blade Extension Handle with Skimming Blade Pole Adapter,"Manufactured from high-quality fiberglass, aluminum, and high-impact ABS composite, the LEVEL5 Skimming Blade Extension Handle provides lightweight…",L5-14987962646894,14987962646894,level-5-skimming-blade-extension-handle-with-skimming-blade-pole-adapter,level 5 skimming blade extension handle with skimming blade pole adapter,,
Level 5 Tools,variation,4-945,4-945,,Level 5 Skimming Blade Extension Handle with Skimming Blade Pole Adapter,1,0,visible,,,,,taxable,,1,,,0,0,2.00,,,,0,,,134.44,,,,"https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-1.jpg?v=1773222954, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-4.jpg?v=1773222954, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-2.jpg?v=1773222954, https://cdn.shopify.com/s/files/1/0277/6678/4139/files/4-945-3.jpg?v=1773222954",,,L5-14987962646894,,,,,,1,Brand,Level 5 Tools,1,1,0,Size,4' - 7' Telescopic,1,1,1,Level 5 Skimming Blade Extension Handle with Skimming Blade Pole Adapter – 4' - 7' Telescopic,"Level 5 Skimming Blade Extension Handle with Skimming Blade Pole Adapter – 4' - 7' Telescopic. Manufactured from high-quality fiberglass, aluminum, and high-impact ABS composite, the LEVEL5 Skimming Blade Extension…",4-945,14987962646894,level-5-skimming-blade-extension-handle-with-skimming-blade-pole-adapter,,,
