csv_sku,matched_mfr_number,matched_from_field,name,row_type,image_position,image_url,url_basis
4-701,4-701,sku,7” Corner Applicator,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx701xx1.jpg,sku_mfr_main_image_candidate_only
4-702,4-702,sku,8” Corner Applicator,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx702xx1.jpg,sku_mfr_main_image_candidate_only
4-732,4-732,sku,2.5” Corner Finisher,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx732xx1.jpg,sku_mfr_main_image_candidate_only
4-733,4-733,sku,3” Corner Finisher,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx733xx1.jpg,sku_mfr_main_image_candidate_only
4-734,4-734,sku,3.5” Corner Finisher,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx1.jpg,verified_zoro_page_gallery
4-734,4-734,sku,3.5” Corner Finisher,variation,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx3.jpg,verified_zoro_page_gallery
4-734,4-734,sku,3.5” Corner Finisher,variation,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx2.jpg,verified_zoro_page_gallery
4-735,4-735,sku,4” Corner Finisher,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx735xx1.jpg,sku_mfr_main_image_candidate_only
4-743,4-743,sku,3” Corner Flusher,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx743xx1.jpg,sku_mfr_main_image_candidate_only
4-744,4-744,sku,3.5” Corner Flusher,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx744xx1.jpg,sku_mfr_main_image_candidate_only
4-794,4-794,sku,31”- 50” Ext Handle (Corner Applicator),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx794xx1.jpg,sku_mfr_main_image_candidate_only
4-798,4-798,sku,43”- 72” Ext Handle (Corner Applicator),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx798xx1.jpg,sku_mfr_main_image_candidate_only
4-795,4-795,sku,31”- 50” Ext Handle (Corner Finisher),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx795xx1.jpg,sku_mfr_main_image_candidate_only
4-799,4-799,sku,43”- 72” Ext Handle (Corner Finisher),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx799xx1.jpg,verified_zoro_page_gallery
4-759,4-759,sku,48” - 78” Ext. Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx759xx1.jpg,sku_mfr_main_image_candidate_only
4-780,4-780,sku,40” - 62” Ext. Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx780xx1.jpg,sku_mfr_main_image_candidate_only
4-781,4-781,sku,30” - 42” Ext. Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx781xx1.jpg,sku_mfr_main_image_candidate_only
4-782,4-782,sku,23” - 32” Ext. Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx782xx1.jpg,sku_mfr_main_image_candidate_only
4-711,4-711,sku,34” Fixed Length Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx711xx1.jpg,sku_mfr_main_image_candidate_only
4-712,4-712,sku,42” Fixed Length Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx712xx1.jpg,sku_mfr_main_image_candidate_only
4-740,4-740,sku,54” Fixed Length Handle,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx740xx1.jpg,sku_mfr_main_image_candidate_only
4-767,4-767,sku,7” Flat Box (MEGA),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx767xx1.jpg,sku_mfr_main_image_candidate_only
4-768,4-768,sku,10” Flat Box (MEGA),variation,1,https://www.zoro.com/static/cms/product/large/Z-x_K4mcpEx_.JPG,verified_zoro_page_gallery
4-769,4-769,sku,12” Flat Box (MEGA),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx769xx1.jpg,sku_mfr_main_image_candidate_only
4-722,4-722,sku,10” Flat Box,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx722xx1.jpg,sku_mfr_main_image_candidate_only
4-723,4-723,sku,12” Flat Box,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx723xx1.jpg,sku_mfr_main_image_candidate_only
4-764,4-764,sku,7” Flat Box (Standard),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx764xx1.jpg,sku_mfr_main_image_candidate_only
4-765,4-765,sku,10” Flat Box (Standard),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx765xx1.jpg,sku_mfr_main_image_candidate_only
4-766,4-766,sku,12” Flat Box (Standard),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx766xx1.jpg,sku_mfr_main_image_candidate_only
4-770,4-770,sku,14” Flat Box (Standard),variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx770xx1.jpg,sku_mfr_main_image_candidate_only
4-754,4-754,sku,2” Nail Spotter,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx754xx1.jpg,sku_mfr_main_image_candidate_only
4-755,4-755,sku,3” Nail Spotter,variation,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx755xx1.jpg,sku_mfr_main_image_candidate_only
