page,set_name,set_sku,component_name,component_sku,quantity,component_sku_normalized,normalization_note
6,The Entry to Automatic Finishing,4-600P,Automatic Taper,4-760,1,4-760,
6,The Entry to Automatic Finishing,4-600P,Gooseneck Filler Tube,4-714,1,4-714,
6,The Entry to Automatic Finishing,4-600P,Compound Pump,4-771,1,4-771,
6,The Entry to Automatic Finishing,4-600P,10” Flat Box,4-765,1,4-765,
6,The Entry to Automatic Finishing,4-600P,12” Flat Box,4-766,1,4-766,
6,The Entry to Automatic Finishing,4-600P,42” Flat Box Handle,4-712,1,4-712,
6,The Entry to Automatic Finishing,4-600P,3” Corner Finisher,4-733,1,4-733,
6,The Entry to Automatic Finishing,4-600P,54” Corner Finisher Handle,4-779,1,4-779,
6,The Entry to Automatic Finishing,4-600P,7” Corner Applicator,4-701,1,4-701,
6,The Entry to Automatic Finishing,4-600P,54” Corner Applicator Handle,4-778,1,4-778,
6,The Entry to Automatic Finishing,4-600P,Corner Roller,4-707,1,4-707,
6,The Entry to Automatic Finishing,4-600P,50” Corner Roller Handle (as printed: 5-777),5-777,1,4-777,normalized from 5-777
6,The Entry to Automatic Finishing,4-600P,Bonus Hand Tool Set,5-623,1,5-623,
6,The Ultimate Taping & Finishing Set,4-677P,Automatic Taper,4-760,1,4-760,
6,The Ultimate Taping & Finishing Set,4-677P,Gooseneck Filler Tube,4-714,1,4-714,
6,The Ultimate Taping & Finishing Set,4-677P,Compound Pump,4-771,2,4-771,
6,The Ultimate Taping & Finishing Set,4-677P,7” Flat Box,4-764,1,4-764,
6,The Ultimate Taping & Finishing Set,4-677P,10” Flat Box,4-765,1,4-765,
6,The Ultimate Taping & Finishing Set,4-677P,12” Flat Box,4-766,1,4-766,
6,The Ultimate Taping & Finishing Set,4-677P,42” Flat Box Handle,4-712,1,4-712,
6,The Ultimate Taping & Finishing Set,4-677P,3” Corner Finisher,4-733,1,4-733,
6,The Ultimate Taping & Finishing Set,4-677P,3.5” Corner Finisher,4-734,1,4-734,
6,The Ultimate Taping & Finishing Set,4-677P,31”- 50” Corner Finisher Handle,4-795,1,4-795,
6,The Ultimate Taping & Finishing Set,4-677P,MiniShot,4-772,1,4-772,
6,The Ultimate Taping & Finishing Set,4-677P,Corner Roller,4-707,1,4-707,
6,The Ultimate Taping & Finishing Set,4-677P,3” Nail Spotter,4-755,1,4-755,
6,The Ultimate Taping & Finishing Set,4-677P,31”- 50” Corner Roller/Nail Spotter Handle,4-792,2,4-792,
6,The Ultimate Taping & Finishing Set,4-677P,Outsider Wheel Kit,4-862,1,4-862,
6,The Ultimate Taping & Finishing Set,4-677P,Bonus Hand Tool Set,5-623,1,5-623,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,Automatic Taper,4-760,1,4-760,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,Gooseneck Filler Tube,4-714,1,4-714,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,Compound Pump,4-771,1,4-771,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,10” Flat Box,4-765,1,4-765,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,12” Flat Box,4-766,1,4-766,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,40”- 62” Flat Box Handle,4-780,1,4-780,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,3” Corner Finisher,4-733,1,4-733,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,31”- 50” Corner Finisher Handle,4-795,1,4-795,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,MiniShot,4-772,1,4-772,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,Corner Roller,4-707,1,4-707,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,31”- 50” Corner Roller Handle,4-792,1,4-792,
6,The Full Taping Set w/ Ext. Handles & MiniShot,4-661P,Bonus Hand Tool Set,5-623,1,5-623,
6,The Starter Taping Set,4-630,Automatic Taper,4-760,1,4-760,
6,The Starter Taping Set,4-630,Gooseneck Filler Tube,4-714,1,4-714,
6,The Starter Taping Set,4-630,Compound Pump,4-771,1,4-771,
6,The Starter Taping Set,4-630,Corner Roller,4-707,1,4-707,
6,The Starter Taping Set,4-630,50” Corner Roller Handle,4-777,1,4-777,
7,The Entry to Automatic Finishing,4-602,Compound Pump,4-771,1,4-771,
7,The Entry to Automatic Finishing,4-602,10” Flat Box,4-765,1,4-765,
7,The Entry to Automatic Finishing,4-602,12” Flat Box,4-766,1,4-766,
7,The Entry to Automatic Finishing,4-602,42” Flat Box Handle,4-712,1,4-712,
7,The Entry to Automatic Finishing,4-602,3” Corner Finisher,4-733,1,4-733,
7,The Entry to Automatic Finishing,4-602,54” Corner Finisher Handle,4-779,1,4-779,
7,The Entry to Automatic Finishing,4-602,7” Corner Applicator Box,4-701,1,4-701,
7,The Entry to Automatic Finishing,4-602,50” Corner Applicator Handle,4-778,1,4-778,
