"sku","mpn","name","manufacturer","style","price","in_stock","short_description","full_description","image_urls","product_url"
"10030","07TT","TapeTech EasyClean Automatic Taper 07TT","TapeTech","","$1,599.00","No","","TapeTech 07TT EasyClean® Taper is the most advanced and enhanced drywall taping tool offered by TapeTech. EasyClean® lid releases with a quick turn of the single attachment screw, and makes clean-up and cable changes easier than ever. You can expect great TapeTech quality from the rest of the drywall gun as well! EASY GRIP CONTROL TUBE . The control tube has been lengthened 2.5"" and glide wheels added to make tape cuts easier and more comfortable. The glide wheels are recessed into flanges at each end of the control tube, and act as stops for your hands - requiring much less grip-force to operate the cutter. QUICK-CHANGE TAPE BAIL locks into place, making it easy to change tape rolls without having to put the taper down. Best of all, there are no loose parts to misplace or re-install. To change tape rolls, grasp the tape retainer wire near the end of the spool post and depress it down and out through the retainer slot. Swing the retainer wire up and out of the way, change tape rolls, sliding the new roll fully onto the spool post. Swing the retainer wire back down, and guide it into the retainer slot. It’s that simple! NO HASSLE CABLE CHANGES. The plunger stop has been improved to simplify cable changes. The metal and exposed screw heads have been replaced with a smooth, rounded, plastic plunger stop that is easy to remove and re-install. To remove the plunger stop, lift the locking tab and twist the stop ¼ turn counterclockwise. After twisting, pull the stop off the taper and complete the cable change following the normal procedure (see Cable Replacement). To re-install, align the guide tabs to the slots and slide the stop into the taper end, twisting ¼ turn clockwise. Continue twisting until the tab snaps into place, locking the assembly together. If oriented correctly, very little force should be required to install the stop. Changing a cable has never been easier! NOW WITH ADJUSTABLE BRAKING SYSTEM! This new feature allows you to adjust the braking system for your personal preference. Now you have the control over the brake. It also can be adjusted tighter or looser to account for wear on your taper.","https://www.shopamestools.com/Item_Images_AMES/10030_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/10030_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/10030_media_5.jpg | https://www.shopamestools.com/Item_Images_AMES/10030_media_6.jpg | https://www.shopamestools.com/Item_Images_AMES/10030_media_7.jpg | https://www.shopamestools.com/Item_Images_AMES/10030_media_8.jpg | https://www.shopamestools.com/Item_Images_AMES/10030_media_9.jpg","https://www.shopamestools.com/TapeTech-EasyClean-Automatic-Taper"
"10031","8134TT","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT","TapeTech","","$259.00","No","","TapeTech 34"" EasyFinish® Box Handle Attach to the TapeTech EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing Boxes and provide control to cleanly sweep the boxes off the joint for a perfect finish. Incorporating an ergonomic, bent handle design they provide increased leverage with less effort. The EasyFinish® handles are highly recommended for use with the TapeTech Power Assist™ Finishing Boxes as the bent handle helps to activate the Power Assist™ mechanism. Perfect For Wall Work, Butt Joints, and Tight Areas Easier To Use On Ceilings 3/4"" Diameter Handle Fits Every Major Brand Flat Box TapeTech Columbia Drywall Master BlueLine NorthStar Premier 5 Year TapeTech Warranty","https://www.shopamestools.com/Item_Images_AMES/10031_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/10031_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/10031_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/10031_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/10031_media_5.jpg","https://www.shopamestools.com/TapeTech-Bent-FlatBox-Handle-8134TT"
"10032","8142TT","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT","TapeTech","","$269.00","No","","TapeTech 42"" EasyFinish® Box Handle Attach to the TapeTech EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing Boxes and provide control to cleanly sweep the boxes off the joint for a perfect finish. Incorporating an ergonomic, bent handle design they provide increased leverage with less effort. The EasyFinish® handles are highly recommended for use with the TapeTech Power Assist™ Finishing Boxes as the bent handle helps to activate the Power Assist™ mechanism. Perfect For Wall Work, Butt Joints, and Lower Ceilings Easier To Use On Ceilings 3/4"" Diameter Handle Fits Every Major Brand Flat Box TapeTech Columbia Drywall Master BlueLine NorthStar Premier 5 Year TapeTech Warranty","https://www.shopamestools.com/Item_Images_AMES/10032_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/10032_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/10032_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/10032_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/10032_media_5.jpg","https://www.shopamestools.com/TapeTech-Bent-FlatBox-Handle-8142TT"
"10033","8154TT","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT","TapeTech","","$279.00","No","","TapeTech 54"" EasyFinish® Box Handle Attach to the TapeTech EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing Boxes and provide control to cleanly sweep the boxes off the joint for a perfect finish. Incorporating an ergonomic, bent handle design they provide increased leverage with less effort. The EasyFinish® handles are highly recommended for use with the TapeTech Power Assist™ Finishing Boxes as the bent handle helps to activate the Power Assist™ mechanism. Perfect For Headers and Ceilings Easier To Use On Ceilings 3/4"" Diameter Handle Fits Every Major Brand Flat Box TapeTech Columbia Drywall Master BlueLine NorthStar Premier 5 Year TapeTech Warranty","https://www.shopamestools.com/Item_Images_AMES/10033_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/10033_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/10033_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/10033_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/10033_media_5.jpg","https://www.shopamestools.com/TapeTech-Bent-FlatBox-Handle-8154TT"
"10034","8172TT","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT","TapeTech","","$289.00","No","","TapeTech 72"" EasyFinish® Box Handle Attach to the TapeTech EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing Boxes and provide control to cleanly sweep the boxes off the joint for a perfect finish. Incorporating an ergonomic, bent handle design they provide increased leverage with less effort. The EasyFinish® handles are highly recommended for use with the TapeTech Power Assist™ Finishing Boxes as the bent handle helps to activate the Power Assist™ mechanism. Perfect For Headers and Higher Ceilings Easier To Use On Ceilings 3/4"" Diameter Handle Fits Every Major Brand Flat Box TapeTech Columbia Drywall Master BlueLine NorthStar Premier 5 Year TapeTech Warranty","https://www.shopamestools.com/Item_Images_AMES/10034_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/10034_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/10034_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/10034_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/10034_media_5.jpg","https://www.shopamestools.com/TapeTech-Bent-FlatBox-Handle-8172TT"
"10100","15TTE w/Handle","TapeTech Corner Roller with Handle TT15E","TapeTech","","$248.00","Yes","","TapeTech 15TTE Corner Roller with FHTT Interchangeable Fiberglass Handle is the newest version standard angle roller. The 15TTE Corner Roller head incorporates several new design elements that make it easier to clean and operate. The wheels are a departure from the old reversible steel wheels - Replaced with stainless steel roller wheels filled with plastic. The new design washes easier, keeps mud from caking up the wheels, and eliminates stuck wheels. The wheels are attached with a stud design that inhibits wear, and eases friction. Combine the Roller with TapeTech's new FHTT D-Shaped Interchangeable 43"" Fiberglass Handle, and you're covered from floor to ceiling. The corner roller drywall tool is used to embed drywall paper tape firmly into the corner in preparation for use with a corner finisher angle head. All TapeTech tools come with an industry-best 5-year limited warranty. Additionally, the tools can be serviced through All-Wall with 2 authorized warranty and repair locations. For over 25 years, TapeTech has served the needs of the drywall industry, producing tools of uncompromising quality, durability and performance. TapeTech’s engineers are continuously designing new tools and improving existing tools to make the job of the finishing professional easier. TapeTech Corner Roller with FHTT Handle Features: Steel Rollers with Plastic Interior provides smooth operation, and are easy to clean Lightweight and fast tool to bed the tape into inside corners forming a sharp corner at the same time. Can embed tape in 10-foot high (3m) corners while standing on the floor. Includes TapeTech FHTT Interchangeable 43"" Fiberglass Handle Handle diameter of 1.25"" is larger and more comfortable than previous versions D-Shaped FHTT handle fits the TapeTech Angle Boxes, Nail Spotters and Corner Finishers with available adapters","https://www.shopamestools.com/Item_Images_AMES/10100_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/10100_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/10100_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/10100_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/10100_media_5.jpg","https://www.shopamestools.com/TapeTech-Corner-Roller"
"10101","CA08/FHTT","TapeTech 8"" Angle Box With FHTT Handle","TapeTech","","$389.00","Yes","","The CA08TT 8"" TapeTech Corner Applicator with FHTT Interchangeable Fiberglass Handle incorporates the new XHT/FHTT handle connection with non-slip D shaped input and extendable convenience. The CA08TT Angle Box is used in conjunction with Angle Heads/Corner Finishers, Mud Applicator Heads, and Corner Bead Mud Heads to apply drywall compound to internal and external corners. TapeTech FHTT is an interchangeable fiberglass handle system that allows one support handle to be used with Corner Rollers, Angle Boxes, Angle Heads, and Nail Spotters! The base handle FHTT fits the CA08TT corner box and corner roller without adapters. The new, optimal 1.25"" diameter makes TapeTech FHTT handles the most ergonomic in the industry. The FHTT features a D-shaped fitting that securely positions the handle in the Corner Applicator and positively prevents the tool from rotating during use. TapeTech Angle Boxes feature a lightweight aluminum body with durable stainless steel nose cone. The 8"" model is slightly larger than the 7"" model, and holds more compound. The greater mud capacity adds a small amount of weight, but increases overall productivity. TapeTech CA08TT Angle Box with FHTT Handle: Includes New FHTT D Handle Connector Extension Handle 43"" Use a single handle with attachments for a variety of tools. Durable Stainless Steel Nose Cone Connects to all brands of Angle Head, and a variety of Mud Heads 8"" model has a higher mud capacity than the 7"", and overall higher production rate","https://www.shopamestools.com/Item_Images_AMES/10101_TapeTech8AngleBoxWithFHTTHandle_001.jpg | https://www.shopamestools.com/Item_Images_AMES/10101_TapeTech8AngleBoxWithFHTTHandle_002.jpg | https://www.shopamestools.com/Item_Images_AMES/10101_TapeTech8AngleBoxWithFHTTHandle_003.jpg | https://www.shopamestools.com/Item_Images_AMES/10101_TapeTech8AngleBoxWithFHTTHandle_004.jpg | https://www.shopamestools.com/Item_Images_AMES/10101_TapeTech8AngleBoxWithFHTTHandle_005.jpg","https://www.shopamestools.com/TapeTech-8-Angle-Box"
"10102","CA07/FHTT","TapeTech 7"" Angle Box with FHTT Handle","TapeTech","","$374.00","Yes","","The CA07TT 7"" TapeTech Corner Applicator with FHTT Interchangeable Fiberglass Handle incorporates the new XHT/FHTT handle connection with non-slip D shaped input and extendable convenience. The CA08TT Angle Box is used in conjunction with Angle Heads/Corner Finishers, Mud Applicator Heads, and Corner Bead Mud Heads to apply drywall compound to internal and external corners. TapeTech FHTT is an interchangeable fiberglass handle system that allows one support handle to be used with Corner Rollers, Angle Boxes, Angle Heads, and Nail Spotters! The base handle FHTT fits the CA08TT corner box and corner roller without adapters. The new, optimal 1.25"" diameter makes TapeTech FHTT handles the most ergonomic in the industry. The FHTT features a D-shaped fitting that securely positions the handle in the Corner Applicator and positively prevents the tool from rotating during use. TapeTech Angle Boxes feature a lightweight aluminum body with durable stainless steel nose cone. The 7"" model is slightly more compact than the 8"" model, and easier to use in tight areas. The 7"" is lighter than its 8"" counterpart, but has a downside of less mud capacity. TapeTech CA07TT Angle Box with FHTT Handle: Includes New FHTT D Handle Connector Extension Handle 43"" Use a single handle with attachments for a variety of tools. Durable Stainless Steel Nose Cone Connects to all brands of Angle Head, and a variety of Mud Heads 7"" Model is lighter and more agile than the 8""","https://www.shopamestools.com/Item_Images_AMES/10102_media_1.jpg","https://www.shopamestools.com/TapeTech-Angle-Box-7inch"
"10103","NS02/FHTT","TapeTech 2"" EasyClean Nail Spotter w/ FHTT Handle","TapeTech","","$337.00","Yes","","TapeTech Taping Tools by Ames Taping Tools EasyClean® 2"" Nail Spotter features an updated gasket system (similar to a flat box) and a quick release latch. EasyClean® Lid opens quickly and easily for clean-up. Combined with the new 43"" TapeTech FHTT Fiberglass Interchangeable Handle gives you the flexibility for any size job. From floor to ceiling this tool has you covered. Nail Spotters are faster and more efficient than spotting nails by hand. You can fill and finish a row of fasteners in 1 pass, and the handle enables you to spot ceilings without the use of stilts. The 2"" Spotter is the ideal choice if you intend on using a single spotter system. Traditional style skid plate is both a pivot point and a screw detector helps prevent blade damage. The spotter body is made of high quality stainless steel that will not rust or deteriorate. TapeTech 2"" Spotter with FHTT Handle Features: Tapetech Taping Tools by Ames EasyClean® Lid and Gasket for quick cleanup Durable Stainless Steel Construction Includes TapeTech FHTT Interchangeable Fiberglass Handle Handle diameter of 1.25"" is larger and more comfortable Included D-Shaped FHTT handle fits onto TapeTech Nail Spotters and Corner Rollers without additional adapters D-Shaped FHTT handle fits the TapeTech Angle Boxes and Corner Finishers with available adapters","https://www.shopamestools.com/Item_Images_AMES/10103_media_1.jpg","https://www.shopamestools.com/TapeTech-EasyClean-Nail-Spotter"
"10104","NS03/FHTT","TapeTech 3"" EasyClean Nail Spotter w/ FHTT Handle","TapeTech","","$348.00","Yes","","TapeTech Taping Tools by Ames Taping Tools EasyClean® 3"" Nail Spotter features an updated gasket system (similar to a flat box) and a quick release latch. EasyClean® Lid opens quickly and easily for clean-up. Combined with the new 43"" TapeTech FHTT Fiberglass Interchangeable Handle gives you the flexibility for any size job. From floor to ceiling this tool has you covered. Nail Spotters are faster and more efficient than spotting nails by hand. You can fill and finish a row of fasteners in 1 pass, and the handle enables you to spot ceilings without the use of stilts. Traditional style skid plate is both a pivot point and a screw detector helps prevent blade damage. The spotter body is made of high quality stainless steel that will not rust or deteriorate. TapeTech 3"" Spotter with FHTT Handle Features: Tapetech Taping Tools by Ames EasyClean® Lid and Gasket for quick cleanup Durable Stainless Steel Construction Includes TapeTech FHTT Interchangeable Fiberglass Handle Handle diameter of 1.25"" is larger and more comfortable Included D-Shaped FHTT handle fits onto TapeTech Nail Spotters and Corner Rollers without additional adapters D-Shaped FHTT handle fits the TapeTech Angle Boxes and Corner Finishers with available adapters","https://www.shopamestools.com/Item_Images_AMES/10104_media_1.jpg","https://www.shopamestools.com/TapeTech-EasyClean-Spotter-3inch"
