Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Handles,simple,<p>Handles by Columbia Tools.</p>,Handles by Columbia Tools.,,,images/handles/handles_01.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, Handles",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Handles |  | Columbia Tools,Professional Handles by Columbia Tools. Handles drywall taping tool for contractors.
Columbia Tools,C1H,C1H,Columbia One,variable,"<p>The Columbia One Handle is designed to work with your Columbia products universally. From the Nail Spotters and Angleheads, to the Rollers and the Corner Boxes, the One system allows you to lighten your load and still utilize all the finishing tools you love. Add a Tomalock adaptor and you can even use this handle with Flat Boxes if necessary. &nbsp;This One handle is all you’ll need.</p>
<h4>FEATURES:</h4>
<ul>
<li>Comes in two fixed lengths (4′ and 18″) and a 3 – 5′ extendible version</li>
<li>AHA Adaptor needed to use with Angleheads</li>
<li>Handmade from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
<li>Hard anodized tube</li>
<li>Comfort grips</li>
<li>Thickest, strongest and lightest handle on the market</li>
</ul>","The Columbia One Handle is designed to work with your Columbia products universally. From the Nail Spotters and Angleheads, to the Rollers and the Corner Boxes, the One system allows you to lighten…",,,images/handles/c1h_01.webp|images/handles/c1h_02.webp|images/handles/c1h_03.webp|images/handles/c1h_04.webp|images/handles/c1h_05.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, C1H, C1HEXT, C1HS, Columbia, Handles",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,C1H|C1HEXT|C1HS,1,1,Columbia One | C1H | Columbia Tools,Professional Columbia One by Columbia Tools. Handles drywall taping tool for contractors.
Columbia Tools,C1H,C1H,Columbia One – C1H,variation,,,,,images/handles/c1h_01.webp|images/handles/c1h_02.webp|images/handles/c1h_03.webp|images/handles/c1h_04.webp|images/handles/c1h_05.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, C1H, C1HEXT, C1HS, Columbia, Handles",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,C1H,,,,,,SKU,C1H,1,1,,
Columbia Tools,C1HEXT,C1HEXT,Columbia One – C1HEXT,variation,,,,,images/handles/c1h_01.webp|images/handles/c1h_02.webp|images/handles/c1h_03.webp|images/handles/c1h_04.webp|images/handles/c1h_05.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, C1H, C1HEXT, C1HS, Columbia, Handles",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,C1H,,,,,,SKU,C1HEXT,1,1,,
Columbia Tools,C1HS,C1HS,Columbia One – C1HS,variation,,,,,images/handles/c1h_01.webp|images/handles/c1h_02.webp|images/handles/c1h_03.webp|images/handles/c1h_04.webp|images/handles/c1h_05.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, C1H, C1HEXT, C1HS, Columbia, Handles",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,C1H,,,,,,SKU,C1HS,1,1,,
Columbia Tools,MH,MH,The Matrix Box Handles,variable,"<p>The Columbia Matrix Flat Box Handle is lightweight and all mechanical. With a 90 degree grip, the Matrix gives you increased control over your box. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Matrix mechanical flat box handle is made of all billet aluminum, ensuring a long life.</p>
<h4>FEATURES:</h4>
<ul>
<li>Now available in 3 sizes!</li>
<li>Fully mechanical brake</li>
<li>90 degree grip allows for better control over the box</li>
<li>First Flat Box Handle handmade solely from U.S. billet aluminum</li>
<li>Sizes extend: 29″ to 39″ (MHS), 40″ to 60″ (MH), and 56″ to 76″ (MHL)</li>
<li>Machined in our state of the art facility in Canada</li>
<li>Ergonomic handle grip for easy brake pressure</li>
<li>Fits all Flat Box brands</li>
</ul>","The Columbia Matrix Flat Box Handle is lightweight and all mechanical. With a 90 degree grip, the Matrix gives you increased control over your box. These handles are durable and extremely long…",,,images/handles/mhs_01.webp|images/handles/mhs_02.webp|images/handles/mhs_03.webp|images/handles/mhs_04.webp|images/handles/mhs_05.webp|images/handles/mhs_06.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, MHS, MH, MHL, Matrix, Handles",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,MHS|MH|MHL,1,1,The Matrix Box Handles | MH | Columbia Tools,Professional The Matrix Box Handles by Columbia Tools. Handles drywall taping tool for contractors.
Columbia Tools,MHS,MHS,The Matrix Box Handles – MHS,variation,,,,,images/handles/mhs_01.webp|images/handles/mhs_02.webp|images/handles/mhs_03.webp|images/handles/mhs_04.webp|images/handles/mhs_05.webp|images/handles/mhs_06.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, MHS, MH, MHL, Matrix, Handles",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,MH,,,,,,SKU,MHS,1,1,,
Columbia Tools,MH,MH,The Matrix Box Handles – MH,variation,,,,,images/handles/mhs_01.webp|images/handles/mhs_02.webp|images/handles/mhs_03.webp|images/handles/mhs_04.webp|images/handles/mhs_05.webp|images/handles/mhs_06.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, MHS, MH, MHL, Matrix, Handles",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,MH,,,,,,SKU,MH,1,1,,
Columbia Tools,MHL,MHL,The Matrix Box Handles – MHL,variation,,,,,images/handles/mhs_01.webp|images/handles/mhs_02.webp|images/handles/mhs_03.webp|images/handles/mhs_04.webp|images/handles/mhs_05.webp|images/handles/mhs_06.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, MHS, MH, MHL, Matrix, Handles",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,MH,,,,,,SKU,MHL,1,1,,
Columbia Tools,CHXL,CHXL,Long Extendible Handle,simple,"<p>The Columbia Long Extendible Handle is a 1 and 1/4″ thick design pipe. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Long Extendible Handle is not only the lightest on the market, but also the strongest, ensuring a long life.</p>
<p>REACHLINE Extendible Handles are perfect when you just need an extra foot, or four. They also work great in smaller spaces when you need a little less length. You can adjust for your working conditions on the fly.</p>
<h4>Features:</h4>
<ul>
<li>This handle extends 4′ -8′</li>
<li>For safety reasons, this handle is not compatible with the Corner Flusher Box</li>
<li>Handmade from U.S. billet aluminum and<br />
steel components</li>
<li>Machined in our state of the art facility in Canada</li>
<li>Hard anodized tube</li>
<li>Comfort grips</li>
<li>Thickest, strongest and lightest handle on the market</li>
</ul>","The Columbia Long Extendible Handle is a 1 and 1/4″ thick design pipe. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with…",,,images/handles/chxl_01.webp|images/handles/chxl_02.webp,Drywall Finishing Tools > Columbia Tools > Handles,"Columbia Tools, CHXL, Long, Extendible, Handle, Handles",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Long Extendible Handle | CHXL | Columbia Tools,Professional Long Extendible Handle by Columbia Tools. Handles drywall taping tool for contractors.
