Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Pumps,simple,<p>Pumps by Columbia Tools.</p>,Pumps by Columbia Tools.,,,images/pumps/img_01.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, Pumps",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Pumps |  | Columbia Tools,Professional Pumps by Columbia Tools. Pumps drywall taping tool for contractors.
Columbia Tools,TBMP,TBMP,Tall Boy Mud Pump,simple,"<p>We are very proud to offer this tool. After using it, people agree they would never go back to the standard pump again. The Tallboy is a mud pump that will allow you to stand upright while filling your tools. The extra height also allows for use in a 30 gallon pale for those who want to cut down on mixing time.</p>
<h4>FEATURES:</h4>
<ul>
<li>Ergonomically superior</li>
<li>20 degree angled handle makes pumping easier and more comfortable</li>
<li>User can see when taper is full when using goose neck</li>
<li>Saves physical stress and energy</li>
<li>Moveable bracket to fit all 5 gallon pails</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
<br />
<br />
<br />
</p>","We are very proud to offer this tool. After using it, people agree they would never go back to the standard pump again. The Tallboy is a mud pump that will allow you to stand upright while filling…",,,images/pumps/tbmp_01.webp|images/pumps/tbmp_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, TBMP, Tall, Pump, Pumps",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Tall Boy Mud Pump | TBMP | Columbia Tools,Professional Tall Boy Mud Pump by Columbia Tools. Pumps drywall taping tool for contractors.
Columbia Tools,HMP,HMP,Mud Pump,simple,"<p>What a workhorse this tool is. Built to perform in the toughest environment, our pump smoothly and quickly fills your tools. With a 20 degree angle, the handle acts as a lever and keeps the operator from having to reach as far as other models on the market.</p>
<h4>FEATURES:</h4>
<ul>
<li>20 degree angled handle makes pumping easier and more comfortable</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
<br />
<br />
<br />
<br />
<br />
</p>","What a workhorse this tool is. Built to perform in the toughest environment, our pump smoothly and quickly fills your tools. With a 20 degree angle, the handle acts as a lever and keeps the operator…",,,images/pumps/hmp_01.webp|images/pumps/hmp_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, HMP, Pump, Pumps",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Mud Pump | HMP | Columbia Tools,Professional Mud Pump by Columbia Tools. Pumps drywall taping tool for contractors.
Columbia Tools,GN,GN,Gooseneck,variable,"<p>Available in our regular and Tallboy, these stainless steel attachments are tough and effective. Rubber covers on the horseshoe protect your taper while being filled.</p>
<h4>FEATURES:</h4>
<ul>
<li>Tig welded stainless steel</li>
<li>Rubber coated horseshoe</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
</p>","Available in our regular and Tallboy, these stainless steel attachments are tough and effective. Rubber covers on the horseshoe protect your taper while being filled. FEATURES: Tig welded stainless…",,,images/pumps/gn_01.webp|images/pumps/gn_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, GN, TBGN, Gooseneck, Pumps",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,GN|TBGN,1,1,Gooseneck | GN | Columbia Tools,Professional Gooseneck by Columbia Tools. Pumps drywall taping tool for contractors.
Columbia Tools,GN,GN,Gooseneck – GN,variation,,,,,images/pumps/gn_01.webp|images/pumps/gn_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, GN, TBGN, Gooseneck, Pumps",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,GN,,,,,,SKU,GN,1,1,,
Columbia Tools,TBGN,TBGN,Gooseneck – TBGN,variation,,,,,images/pumps/gn_01.webp|images/pumps/gn_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, GN, TBGN, Gooseneck, Pumps",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,GN,,,,,,SKU,TBGN,1,1,,
Columbia Tools,BF,BF,Box Filler,variable,"<p>Available for both our regular and Tallboy pumps, these aluminum and stainless steel attachments are tough and effective. The Box Filler makes filling your Flat Boxes, Nail Spotters and Corner Boxes a dream.</p>
<h4>FEATURES:</h4>
<ul>
<li>Attaches to either Columbia Mud Pump to fill boxes</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
</p>","Available for both our regular and Tallboy pumps, these aluminum and stainless steel attachments are tough and effective. The Box Filler makes filling your Flat Boxes, Nail Spotters and Corner Boxes…",,,images/pumps/bf_01.webp|images/pumps/bf_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, BF, TBBF, Filler, Pumps",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,BF|TBBF,1,1,Box Filler | BF | Columbia Tools,Professional Box Filler by Columbia Tools. Pumps drywall taping tool for contractors.
Columbia Tools,BF,BF,Box Filler – BF,variation,,,,,images/pumps/bf_01.webp|images/pumps/bf_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, BF, TBBF, Filler, Pumps",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,BF,,,,,,SKU,BF,1,1,,
Columbia Tools,TBBF,TBBF,Box Filler – TBBF,variation,,,,,images/pumps/bf_01.webp|images/pumps/bf_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, BF, TBBF, Filler, Pumps",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,BF,,,,,,SKU,TBBF,1,1,,
Columbia Tools,CPFP,CPFP,Columbia X Graco PowerFill 3.5,simple,"<p>Note: This product is not eligible for rebates, wholesale pricing, or discounts and is only available in North America.</p>
<p style=""font-weight: 400;"" data-ogsb=""white""><span data-ogsc=""black"">Columbia Tools has partnered with Graco to bring you a Columbia Tools branded version of their already successful cordless powered loading pump for Columbia customers. The Columbia X Graco PowerFill is designed to fill all automatic taping and finishing tools with ease. The PowerFill system completely eliminates the need for manual pumping, allowing you to fill with just the push of a button.</span></p>
<p style=""font-weight: 400;"" data-ogsb=""white""><span data-ogsc=""black"">Say Goodbye to Hand Pumping. The single-button pumping mechanism reduces fatigue and minimizes the risk of injury associated with manual pumps. With a flow rate of up to 3.5 gpm, you can fill tools lightning-fast, and with the capability to pump up to 55 gallons on a single battery charge, you&rsquo;ll have all-day performance. Plus, it&rsquo;s programmable to automatically refill tools with Precision Fill.</span></p>
<p style=""font-weight: 400;"" data-ogsb=""white""><span data-ogsc=""black"">Bucket not included.</span></p>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">Features</span></strong></p>
<ul style=""font-weight: 400;"">
<li data-ogsc=""black"" data-ogsb=""white"">SmartControl Pro with Programmable Precision Fill: Automatically refills your tools to your preset level.</li>
<li data-ogsc=""black"" data-ogsb=""white"">One Button Pumping: Eliminates fatigue and potential injuries.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Hands-Free Continuous Run Mode: Ideal for transferring large quantities of material or self-cleaning.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Hi-Rise Fill Tube: Allows you to fill tools while standing upright, protecting your back and reducing fatigue. The tube rotates to position the outlet where needed, including above buckets to save space and contain drips.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Includes Filler Attachments: Designed for angle and flat boxes.</li>
</ul>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">Powerstroke Pump</span></strong></p>
<ul style=""font-weight: 400;"">
<li data-ogsc=""black"" data-ogsb=""white"">4X Life vs. Manual Pumps: Built for exceptional durability.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Fastest Tool Fills: Pumps up to 3.5 gpm for efficient filling.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Maintenance Free: Tool-less access for easy cleaning of the pump cylinder, inlet, and filter.</li>
</ul>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">ProConnect Pump and Removable Powerhead</span></strong></p>
<ul style=""font-weight: 400;"">
<li data-ogsc=""black"" data-ogsb=""white"">No-Tools Pump and Powerhead Removal: Easily detach the powerhead for storage and quick cleaning.</li>
</ul>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">Powered by DEWALT&reg;</span></strong></p>
<ul style=""font-weight: 400;"">
<li data-ogsc=""black"" data-ogsb=""white"">Compatible with any 20V MAX Lithium-Ion DEWALT Battery: Pumps up to 55 gallons per charge for reliable all-day use.</li>
</ul>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">Adjustable Bucket Stabilizer</span></strong></p>
<ul style=""font-weight: 400;"">
<li data-ogsc=""black"" data-ogsb=""white"">No-Tools Adjustment: Fits most buckets and containers.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Oversized Foot Bracket and Stabilizer Arm: Keeps the pump secure and stable.</li>
<li data-ogsc=""black"" data-ogsb=""white"">Convertible Outlet: Change from right to left-sided pump outlet in minutes</li>
</ul>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">Specifications</span></strong></p>
<ul style=""font-weight: 400;"">
<li data-ogsc=""black"" data-ogsb=""white"">Version: 26B418</li>
<li data-ogsc=""black"" data-ogsb=""white"">Max GPM (lpm): 3.5 (13.2)</li>
<li data-ogsc=""black"" data-ogsb=""white"">Weight Lbs (Kg): 17 (7.7)</li>
<li data-ogsc=""black"" data-ogsb=""white"">Pump: PowerStroke</li>
<li data-ogsc=""black"" data-ogsb=""white"">Power/Battery: (1) DEWALT 20V MAX* COMPACT 2.0 ah Lithium-Ion Batteries and (1) Charger</li>
<li data-ogsc=""black"" data-ogsb=""white"">Pump Outlet: Hi-Rise Fill Tube w/Box Filler</li>
<li data-ogsc=""black"" data-ogsb=""white"">Precision Fill: Yes</li>
<li data-ogsc=""black"" data-ogsb=""white"">Inlet Filter: Tool-less, 10 Mesh (1)</li>
<li data-ogsc=""black"" data-ogsb=""white"">Adjustable Flow: Yes</li>
<li data-ogsc=""black"" data-ogsb=""white"">Fits Container: Adjustable up to 5 (7-15″ Bucket Height Range)</li>
</ul>
<p style=""font-weight: 400;"" data-ogsb=""white""><strong><span data-ogsc=""black"">Individual Part Numbers:</span></strong></p>
<p style=""font-weight: 400;"" data-ogsb=""white""><span data-ogsc=""black"">&nbsp;</span></p>
<p style=""font-weight: 400;"" data-ogsb=""white""><span data-ogsc=""black"">CPFP – Columbia PowerFill Pump (comes with box filler)</span></p>
<p style=""font-weight: 400;"" data-ogsb=""white""><span data-ogsc=""black"">CPFGN – Columbia PowerFill Gooseneck (sold seperately)</span></p>","Note: This product is not eligible for rebates, wholesale pricing, or discounts and is only available in North America. Columbia Tools has partnered with Graco to bring you a Columbia Tools branded…",,,images/pumps/cpfp_01.webp|images/pumps/cpfp_02.webp,Drywall Finishing Tools > Columbia Tools > Pumps,"Columbia Tools, CPFP, Columbia, Graco, PowerFill, Pumps",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Columbia X Graco PowerFill 3.5 | CPFP | Columbia Tools,Professional Columbia X Graco PowerFill 3.5 by Columbia Tools. Pumps drywall taping tool for contractors.
