Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
Columbia Taping Tools,809526-A2,,Columbia #6 Belleville Washer (809526-A2),simple,"<h2>Precision Engineering for Professional Taping Tools</h2><p>Ensure the longevity and consistent performance of your Columbia Taping Tools equipment with the #6 Belleville Washer. Designed to maintain optimal tension and structural integrity within your tools, this essential component is engineered to withstand the rigorous demands of daily professional drywall finishing. By providing the necessary spring force, this washer prevents loosening and ensures your equipment operates with the precision required for high-quality results.</p><h2>Reliable Performance and Durability</h2><p>When working on high-stakes projects, every component matters. This genuine Columbia Taping Tools replacement part is manufactured to exact tolerances, ensuring a seamless fit and reliable operation. Whether you are performing routine maintenance or addressing a specific mechanical issue, utilizing authentic hardware is the best way to protect your investment and maintain the factory-standard performance of your taping tools.</p><h2>Key Features</h2><ul><li><strong>Genuine OEM Component:</strong> Specifically designed for compatibility with Columbia Taping Tools systems.</li><li><strong>Optimal Tension Control:</strong> Engineered to provide the precise spring pressure required for consistent tool functionality.</li><li><strong>Durable Construction:</strong> Built to endure the high-frequency use and mechanical stress typical of professional drywall environments.</li><li><strong>Precision Fit:</strong> Manufactured to exact specifications to ensure easy installation and reliable mechanical performance.</li><li><strong>Maintenance Essential:</strong> A critical part for keeping your equipment in peak working condition and minimizing downtime on the job site.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | 809526-A2 | | Part Number | FA227 | | Brand | Columbia Taping Tools | | Component Type | #6 Belleville Washer |</p>",#6 Belleville Washer - FA227,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/809526-a2.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,29,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,805865-A,,"Columbia 1/4-20 X 1-1/2"" Hex Bolt (805865-A)",simple,"<h2>Reliable Fastening for Professional Applications</h2><p>Ensure structural integrity in your assembly projects with the Columbia Taping Tools 1/4-20 x 1-1/2"" Hex Bolt. Engineered for durability and precise fit, this fastener provides the reliable clamping force required for demanding trade environments. Whether you are performing routine maintenance or executing complex installations, this bolt offers the consistent performance professionals demand.</p><h2>Precision Engineering</h2><p>Designed to meet standard threading requirements, this hex bolt features a robust head profile that allows for secure tightening with standard wrenches or sockets. Its 1-1/2 inch length provides ample reach for various mounting scenarios, ensuring a stable and vibration-resistant connection. Built to withstand the rigors of daily use, this component is an essential addition to any professional toolkit.</p><h2>Key Features</h2><ul><li><strong>Standard Threading:</strong> Features a 1/4-20 thread pitch for universal compatibility with matching nuts and tapped holes.</li><li><strong>Optimal Length:</strong> The 1-1/2 inch shaft provides versatile utility for securing multiple layers of material or mounting hardware.</li><li><strong>Hexagonal Head:</strong> Designed for high-torque application, allowing for a secure grip during installation and removal.</li><li><strong>Professional Grade:</strong> Manufactured to meet the high standards expected by Columbia Taping Tools for long-term reliability.</li><li><strong>Versatile Utility:</strong> Ideal for a wide range of construction, repair, and assembly tasks in both workshop and field settings.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | 805865-A | | Brand | Columbia Taping Tools | | Thread Size | 1/4-20 | | Length | 1-1/2"" | | Head Style | Hex | | Alternate Part Number | FA299 |</p>","1/4-20 X 1-1/2"" Hex Bolt - FA299",,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,30,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,809526-A,,Columbia 1/4-20 X 2in Hex Bolt (809526-A),simple,"<h2>Precision-Engineered Fastening Solutions</h2><p>Ensure the structural integrity of your professional-grade equipment with the Columbia Taping Tools 1/4-20 x 2in Hex Bolt. Designed to meet the rigorous demands of drywall finishing tools, this high-quality fastener provides a secure, reliable connection that keeps your gear performing at its peak during intensive daily use.</p><h2>Built for Reliability</h2><p>Whether you are performing routine maintenance on your taping tools or replacing worn hardware, this hex bolt offers the exact specifications required for a perfect fit. Its robust construction ensures resistance to vibration and mechanical stress, allowing you to focus on your craft with the confidence that your equipment is held together by industry-standard components.</p><h2>Key Features</h2><ul><li><strong>Exact Fitment:</strong> Engineered specifically for compatibility with Columbia Taping Tools systems requiring 1/4-20 threading.</li><li><strong>Durable Construction:</strong> Manufactured to withstand the high-torque environments typical of professional construction sites.</li><li><strong>Standardized Hex Head:</strong> Designed for easy installation and removal using standard hand tools or socket drivers.</li><li><strong>Professional Grade:</strong> A reliable replacement part that maintains the original factory standards of your equipment.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | 809526-A | | Brand | Columbia Taping Tools | | Part Number | FA300 | | Thread Size | 1/4-20 | | Length | 2 inches | | Fastener Type | Hex Bolt |</p>",1/4-20 X 2in Hex Bolt - FA300,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/809526-a.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,31,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,FA-298,,Columbia 1/4-20 X 7/8in Flat Socket (FA-298),simple,"<h2>Precision Engineering for Professional Taping Tools</h2><p>Ensure your equipment remains in peak operating condition with the Columbia Taping Tools 1/4-20 X 7/8in Flat Socket. Designed specifically for the rigorous demands of professional drywall finishing, this high-quality fastener provides a secure, flush-mount fit that prevents interference during operation. Whether you are performing routine maintenance or critical repairs on your taping tools, this component delivers the reliability and structural integrity required for consistent, high-performance results on the job site.</p><h2>Built for Durability</h2><p>Columbia Taping Tools are synonymous with longevity and precision. This flat socket screw is manufactured to exact tolerances, ensuring seamless compatibility with your existing Columbia hardware. By utilizing factory-spec components, you protect your investment and maintain the smooth, efficient functionality of your tools, minimizing downtime and maximizing your productivity throughout the workday.</p><h2>Key Features</h2><ul><li><strong>Precision Fit:</strong> Engineered to exact 1/4-20 thread specifications for a perfect, secure connection.</li><li><strong>Flush-Mount Design:</strong> The flat socket head ensures a low profile, preventing snagging or surface damage during use.</li><li><strong>Professional Grade:</strong> Manufactured by Columbia Taping Tools to meet the high-performance standards of professional drywall contractors.</li><li><strong>Reliable Maintenance:</strong> An essential component for keeping your taping equipment running smoothly and safely.</li><li><strong>Durable Construction:</strong> Built to withstand the high-torque and repetitive stress environments typical of professional construction sites.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | FA-298 | | Brand | Columbia Taping Tools | | Thread Size | 1/4-20 | | Length | 7/8 inch | | Head Style | Flat Socket |</p>",1/4-20 X 7/8in Flat Socket - FA298,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-298.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,32,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,FA302,,Columbia 1/4-28 X 1/4in Set Screw (FA302),simple,"<h2>Precision Engineering for Professional Taping Tools</h2><p>Ensure your Columbia Taping Tools equipment remains in peak operating condition with the FA302 Set Screw. Designed for durability and a secure fit, this essential fastener is engineered to withstand the rigorous demands of professional drywall finishing. Whether you are performing routine maintenance or replacing worn components, this high-quality set screw provides the reliability required to keep your tools performing at their best on the job site.</p><h2>Reliable Performance and Fit</h2><p>This component is manufactured to exact specifications, ensuring seamless compatibility with your existing Columbia hardware. Its precise threading and robust construction prevent loosening during operation, providing the stability needed for consistent, professional-grade results. Trust in the quality of genuine Columbia Taping Tools parts to maintain the integrity and longevity of your investment.</p><h2>Key Features</h2><ul><li><strong>Genuine OEM Quality:</strong> Specifically designed for compatibility with Columbia Taping Tools equipment.</li><li><strong>Precision Threading:</strong> Features a 1/4-28 thread pitch for a secure, vibration-resistant hold.</li><li><strong>Durable Construction:</strong> Built to endure the high-stress environment of daily professional drywall application.</li><li><strong>Easy Installation:</strong> Engineered for quick and efficient replacement, minimizing downtime on the job.</li><li><strong>Compact Design:</strong> The 1/4-inch length ensures a flush, low-profile fit within your tool assembly.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | FA302 | | Brand | Columbia Taping Tools | | Thread Size | 1/4-28 | | Length | 1/4 inch | | Component Type | Set Screw |</p>",1/4-28 X 1/4in Set Screw - FA302,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa302.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,33,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,FA-288,,Columbia 1/4in X 1/2in Split Pin (FA-288),simple,"<h2>Precision Engineering for Drywall Professionals</h2><p>Ensure your Columbia Taping Tools equipment remains in peak operating condition with the FA-288 Split Pin. Designed to meet the rigorous demands of professional drywall finishing, this essential fastener provides the reliable structural integrity required for high-performance taping tools. Whether you are performing routine maintenance or replacing worn components, this genuine part ensures a perfect fit and seamless operation.</p><h2>Reliable Performance and Durability</h2><p>Built to withstand the high-frequency use of a busy job site, this split pin is manufactured to exact tolerances. Its robust design prevents unwanted movement and ensures that your tool components remain securely locked in place during operation. By choosing authentic Columbia Taping Tools replacement parts, you protect your investment and maintain the precision calibration necessary for a flawless finish on every project.</p><h2>Key Features</h2><ul><li><strong>Genuine OEM Component:</strong> Specifically engineered for compatibility with Columbia Taping Tools systems.</li><li><strong>Precision Dimensions:</strong> Manufactured to exact 1/4in x 1/2in specifications for a secure, rattle-free fit.</li><li><strong>High-Grade Material:</strong> Constructed from durable alloys to resist shear stress and environmental wear.</li><li><strong>Easy Installation:</strong> Designed for quick, hassle-free replacement to minimize downtime on the job.</li><li><strong>Professional Grade:</strong> Trusted by drywall contractors for consistent performance and long-term reliability.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | FA-288 | | Brand | Columbia Taping Tools | | Product Type | Split Pin | | Diameter | 1/4in | | Length | 1/2in |</p>",1/4in X 1/2in Split Pin - FA288,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-288.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,34,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,59225-A,,Columbia 10-32 Nyloc Jam Nut (59225-A),simple,"<h2>Precision Fastening for Professional Tooling</h2><p>Ensure your Columbia Taping Tools equipment remains secure and operational with the 10-32 X Nyloc Jam Nut. Engineered for high-vibration environments, this essential hardware component provides the reliable locking mechanism required to maintain calibration and structural integrity during demanding drywall finishing tasks.</p><h2>Reliable Locking Performance</h2><p>The integrated nylon insert creates a consistent friction fit against the threads, effectively resisting loosening caused by repetitive motion or mechanical stress. This low-profile jam nut is specifically designed to provide a secure hold in tight spaces where standard fasteners might fail or interfere with tool operation.</p><h2>Key Features</h2><ul><li><strong>Vibration Resistance:</strong> The specialized Nyloc insert prevents backing off, ensuring your tool settings remain locked in place.</li><li><strong>Precision Threading:</strong> Manufactured to exact 10-32 specifications for seamless compatibility with Columbia Taping Tools hardware.</li><li><strong>Durable Construction:</strong> Built to withstand the rigors of daily job site use, providing long-term reliability for your professional equipment.</li><li><strong>Low-Profile Design:</strong> The jam nut configuration allows for secure fastening in compact assemblies where clearance is limited.</li><li><strong>Genuine OEM Component:</strong> Designed specifically for use with Columbia Taping Tools to ensure a perfect fit and optimal performance.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | 59225-A | | Brand | Columbia Taping Tools | | Thread Size | 10-32 | | Part Number | FA281 | | Fastener Type | Nyloc Jam Nut |</p>",10-32 Nyloc Jam Nut (59225-A),,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/59225-a.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,35,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,FA-308,,Columbia 33/64 X 7/8in Flat Washer (FA-308),simple,"<h2>Precision Engineering for Professional Drywall Systems</h2><p>Ensure the structural integrity of your taping tools with the Columbia Taping Tools 33/64"" x 7/8"" Flat Washer. Designed specifically for high-performance drywall finishing equipment, this essential component provides the necessary spacing and load distribution required to keep your tools operating at peak efficiency. Whether you are performing routine maintenance or executing a critical repair, this washer offers the exact tolerances needed to prevent mechanical play and ensure smooth, consistent performance on the job site.</p><h2>Built for Reliability</h2><p>Columbia Taping Tools are synonymous with durability in the drywall industry. This flat washer is manufactured to meet rigorous standards, ensuring it withstands the repetitive stress and environmental conditions typical of professional construction environments. By choosing genuine Columbia replacement parts, you protect your investment and maintain the precision calibration of your taping tools, reducing downtime and ensuring a flawless finish on every project.</p><h2>Key Features</h2><ul><li><strong>Exact Fitment:</strong> Engineered to precise 33/64"" x 7/8"" dimensions for seamless integration with compatible Columbia taping equipment.</li><li><strong>Professional Grade:</strong> Constructed from high-quality materials to resist wear and maintain structural stability under pressure.</li><li><strong>Maintenance Essential:</strong> A critical component for restoring tool functionality and eliminating mechanical looseness.</li><li><strong>Brand Authenticity:</strong> Genuine Columbia Taping Tools replacement part, ensuring compatibility and performance consistency.</li><li><strong>Versatile Application:</strong> Ideal for professional contractors and technicians performing field repairs or shop-based tool overhauls.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | FA-308 | | Brand | Columbia Taping Tools | | Product Type | Flat Washer | | Inner Diameter | 33/64 in | | Outer Diameter | 7/8 in | | Compatibility | Columbia Taping Tools Equipment |</p>",33/64 X 7/8in Flat Washer - FA308,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-308.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,36,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,FA209,,Columbia 4-40 X 1/8" Flat Head Screw (FA209),simple,"<h2>Precision Fastening for Professional Finishing</h2><p>Ensure the structural integrity of your drywall tools with the Columbia Taping Tools 4-40 X 1/8in Flat Head Screw. Engineered for reliability and a flush-mount finish, this fastener is an essential component for maintaining the high-performance standards required in professional taping and finishing applications. Whether you are performing routine maintenance or replacing worn hardware, this screw provides the exact fit and durability needed to keep your equipment operating at peak efficiency.</p><h2>Engineered for Excellence</h2><p>Designed specifically for compatibility with Columbia Taping Tools, this screw features a flat head profile that sits perfectly level with the surface, preventing interference during operation. Its precise 4-40 threading ensures a secure, vibration-resistant hold, allowing you to focus on the quality of your finish rather than the reliability of your tools. Trust in genuine replacement parts to extend the lifespan of your professional-grade gear.</p><h2>Key Features</h2><ul><li><strong>Flush-Mount Design:</strong> The flat head configuration ensures a smooth, snag-free surface profile once installed.</li><li><strong>Precision Threading:</strong> Manufactured to 4-40 specifications for a tight, reliable fit in compatible tool assemblies.</li><li><strong>Professional Grade:</strong> Built to meet the rigorous demands of daily construction and drywall finishing environments.</li><li><strong>Genuine Replacement:</strong> An authentic Columbia Taping Tools component, ensuring seamless compatibility and performance.</li><li><strong>Compact Utility:</strong> The 1/8in length is optimized for specific internal tool mechanisms where space is at a premium.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | FA209 | | Brand | Columbia Taping Tools | | Thread Size | 4-40 | | Length | 1/8in | | Head Type | Flat Head |</p>",4-40 X 1/8" Flat Head Screw (FA209),,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa209.webp,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,37,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
Columbia Taping Tools,FA220,,Columbia 4-40 X 3/4" Bind Head Screw (FA220),simple,"<h2>Precision Fastening for Professional Taping Tools</h2><p>Ensure the structural integrity of your drywall finishing equipment with the Columbia Taping Tools 4-40 x 3/4"" Bind Head Screw. Engineered to meet the rigorous demands of professional-grade taping tools, this fastener provides a secure, reliable hold that keeps your equipment performing at its peak during high-intensity jobs.</p><h2>Reliable Performance on the Job Site</h2><p>When you are in the middle of a project, equipment downtime is not an option. This bind head screw is manufactured to exact specifications, ensuring a perfect fit for your Columbia tools. Whether you are performing routine maintenance or replacing worn hardware, choosing genuine replacement parts guarantees compatibility and long-term durability.</p><h2>Key Features</h2><ul><li><strong>Precision Engineering:</strong> Designed specifically for seamless integration with Columbia Taping Tools hardware.</li><li><strong>Secure Fastening:</strong> The bind head design offers a wide bearing surface, ensuring a tight, vibration-resistant connection.</li><li><strong>Durable Construction:</strong> Built to withstand the repetitive stress and environmental conditions typical of professional drywall finishing.</li><li><strong>Standardized Sizing:</strong> Features a 4-40 thread count and 3/4-inch length for precise, universal compatibility within the specified tool range.</li><li><strong>Essential Maintenance Component:</strong> An indispensable item for your toolkit to ensure rapid repairs and minimal downtime.</li></ul><h2>Technical Specifications</h2><p>| Specification | Detail | | :--- | :--- | | SKU | FA220 | | Brand | Columbia Taping Tools | | Thread Size | 4-40 | | Length | 3/4 inch | | Head Type | Bind Head |</p>",4-40 X 3/4" Bind Head Screw (FA220),,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,,38,1,0,visible,,,taxable,,1,,,,,,,,,1,,,,,,,,,,,Brand,Columbia Taping Tools,1,1
