PART #,QUANTITY REQURIED,COLUMBIA AUTOMATIC TAPER, LIST PRICE USD ,,
CT1R,1,Head (No Holes for Cap), $150.62 ,,
CT2,2,Nylatron Insert Bushing, $3.76 ,,
CT3,1,Stainless Steel Right Insert Bushing, $11.30 ,,
CT3A,1,Stainless Steel Left Insert Bushing   , $11.30 ,,
CT4,2,Nylatron Wafer Bushing, $1.25 ,,
CT5,1,Nylatron Wafer Bushing, $1.25 ,,
CT6,1,Stainless Steel Side Plate – Right*, $30.14 ,,
CT6A,1,Stainless Steel Side Plate - Left *, $36.12 ,,
CT6R,2,Removable coverplate sideplate screw, $2.16 ,,
CT7,1,Side Plate Support – Right, $57.12 ,,
CT7A,2,Side Plate Hub, $12.55 ,,
CT8,1,Side Plate Support – Left, $57.12 ,,
CT10,1,Crimping Arm Bushing - Left, $4.71 ,,
CT10A,1,Crimping Arm Bushing – Right, $4.71 ,,
CT11,1,Mud Guard Plate, $8.79 ,,
CT12,1,Tape Advance Release Bracket, $6.90 ,,
CTA13,1,Dog Base Bracket with Shim, $12.05 ,,
CT13,1,Dog Base Bracket - See CTA13,,,
CT13A,1,Shim - See CTA13,,,
CT14,1,Adjustable Brake Holder, $5.98 ,,
CT14A,1,Adjustable Brake, $5.98 ,,
CT15,1,Ratchet Rod for Adjustable Brake, $5.65 ,,
CT16,1,Brake Dog, $15.69 ,,
CT17,1,Separation Plate, $17.55 ,,
CT19,1,Paper Feed Guide, $33.91 ,,
CT20,1,Hinge Block, $10.06 ,,
CT22,1,Bracket, $20.09 ,,
CT23,2,Reinforcing Rod, $7.54 ,,
CT25,1,Knife Guide Square Tube, $41.40 ,,
CT26,1,Knife Guide Bracket – Right, $15.69 ,,
CT27,1,Knife Guide Bracket – Left, $12.55 ,,
CT28,2,Roller Bushing, $3.76 ,,
CT29,1,Right Nylatron Chain Roller (small), $3.14 ,,
CT29A,1,Left Nylatron Chain Roller (large), $3.14 ,,
CT31,1,Chain Tension & Guide Bracket, $5.65 ,,
CT32,1,Carriage Cam, $9.43 ,,
CT34-CL,2,Cam Lock Cap Side Block, $5.65 ,,
CT35,2,Cap Reinforcing Tab, $3.14 ,,
CT36,1,Return Spring Tube, $32.63 ,,
CT37,1,Tube Holding Bracket – Lower, $25.09 ,,
CT38,1,Tube Holding Bracket – Upper, $21.33 ,,
CT39,1,Knife Return Spring, $9.20 ,,
CT40,1,Return Spring Ring, $1.25 ,,
CT41,1,Knife Retainer Block, $1.57 ,,
CT41A,1,Knife Retainer Cap, $5.98 ,,
CT42,1,Knife Blade, $1.57 ,,
CT42A,1,Diamond Blade (used in all current Tapers), $1.90 ,,
CT43,2,Micro Chain, $31.38 ,,
CT45,1,Connecting Rod (now includes CT46 solid), $16.95 ,,
CT47,1,Crimping Wheel, $12.55 ,,
CT48,1,Crimping Arm – Left*  (Stainless Steel), $56.45 ,,
CT49,1,Crimping Arm – Right* (Stainless Steel), $56.45 ,,
