Diagram File Name,LABEL NUMBER ON SCHEMATIC DIAGRAM (#),PARTS SKU (PART),PARTS NAME (DESCRIPTION),PRICE
7097-Drive-Dog-Assembly.pdf,1,7094,Spring Drive Dog,$3.14
7097-Drive-Dog-Assembly.pdf,2,7269,Drive Dog Body,Not Available
7097-Drive-Dog-Assembly.pdf,3,7060,Drive Dog Screw 8-32,$1.79
7097-Drive-Dog-Assembly.pdf,4,7116,1/16 x 1/2in Cotter Pin Fastenal  74268,$1.79
7097-Drive-Dog-Assembly.pdf,5,7100,Cable Drum Shaft,$36.89
7097-Drive-Dog-Assembly.pdf,6,7089,Drive dog roller,Not Available
7218-Taper-Wheel-Assembly.pdf,1,7047,4-40 x3/16 Bind Head Screw,$1.79
7218-Taper-Wheel-Assembly.pdf,2,7077,Taper Wheel,$19.34
7218-Taper-Wheel-Assembly.pdf,3,7090,Drive hub,$20.69
7218-Taper-Wheel-Assembly.pdf,4,7078,Taper Wheel Spool,$38.69
7218-Taper-Wheel-Assembly.pdf,5,7070,8-32 x 1/4 FH Screw,$1.79
7293-Gooser-Assembly.pdf,1,7042,6-32X3/16 Fillister Head Screw,$1.79
7293-Gooser-Assembly.pdf,2,7041,Gooser Needle Holder,$13.04
7293-Gooser-Assembly.pdf,3,7023,Gooser Body,Not Available
7293-Gooser-Assembly.pdf,4,7019,Needle Spring,$4.49
7293-Gooser-Assembly.pdf,5,7025,Magnet Assembly,$13.94
7293-Gooser-Assembly.pdf,6,7030,4-40 x 1/4 Bind Head Screw,$1.79
7293-Gooser-Assembly.pdf,7,7031,#4 Lock Washer,$1.79
7293-Gooser-Assembly.pdf,8,7010,6-32 x 5/16 Round Head Screw,$1.79
7293-Gooser-Assembly.pdf,9,7022,Needle Holder Lock,$3.59
7293-Gooser-Assembly.pdf,10,7040,Needle Gooser,$1.79
9333-Cutter-Chain-Assembly.pdf,1,7116,1/16 x 1/2in Cotter Pin Fastenal  74268,$1.79
9333-Cutter-Chain-Assembly.pdf,2,7332,Cutter Chain without Spring,$88.19
9333-Cutter-Chain-Assembly.pdf,3,7136,"4-40 x 6.3MM FLH Screw, Phillips",$4.49
9333-Cutter-Chain-Assembly.pdf,4,7111,Pyramid Blade,$3.14
9333-Cutter-Chain-Assembly.pdf,5,7112,Cutter Block Clamp,$15.29
9333-Cutter-Chain-Assembly.pdf,6,9108,Cutter Chain Spring,$16.64
9333-Cutter-Chain-Assembly.pdf,7,7054,Key Ring,$1.79
9333-Cutter-Chain-Assembly.pdf,8,9917,AT Key Ring Holder,$22.04
9333-Cutter-Chain-Assembly.pdf,9,7177,#10 Brass Washer,$1.79
9333-Cutter-Chain-Assembly.pdf,10,9916,AT Wing Nut,$1.79
7377-Cover-Plate-AssemblyOld-Style.pdf,1,7034,Disengaging Rod Bearing,$12.14
7377-Cover-Plate-AssemblyOld-Style.pdf,2,7033,O'Ring,$0.89
7377-Cover-Plate-AssemblyOld-Style.pdf,3,7032,O'Ring Housing,$19.79
7377-Cover-Plate-AssemblyOld-Style.pdf,4,7042,6-32X3/16 Fillister Head Screw,$1.79
7377-Cover-Plate-AssemblyOld-Style.pdf,5,7013,#6 Lockwasher Medium,$1.79
7377-Cover-Plate-AssemblyOld-Style.pdf,6,7045,Cover Plate,Not Available
7377-Cover-Plate-AssemblyOld-Style.pdf,7,7126,4-40 x 5/16 BH Screw- Fastenal 70657,$1.79
7377-Cover-Plate-AssemblyOld-Style.pdf,8,7017,6-32 x 3/8 Bind Head Screw,$1.79
7377-Cover-Plate-AssemblyOld-Style.pdf,9,7029,Bracket Base,$7.19
7377-Cover-Plate-AssemblyOld-Style.pdf,10,7014,Collar Bushing,$3.25
7377-Cover-Plate-AssemblyOld-Style.pdf,11,7016,Disengaging Cam,$8.54
7377-Cover-Plate-AssemblyOld-Style.pdf,12,7015,#6-32 Thin Pattern Locknut,$1.79
7377-Cover-Plate-AssemblyOld-Style.pdf,13,7028,Disengaging Rod (shaft),$13.04
7377-Cover-Plate-AssemblyOld-Style.pdf,14,7248,4-40 Lock Nut,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,1,7083,Tape Guide Assembly,$67.94
Taper-Head-Assembly-New-Style-4-760.pdf,2,7075,6-32 x 1/2 FillisterHeadScrew,$1.00
Taper-Head-Assembly-New-Style-4-760.pdf,3,7013,#6 Lockwasher Medium,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,4,7074,Tape Guide Support Bracket,Not Available
Taper-Head-Assembly-New-Style-4-760.pdf,5,7399,"4-40 X 8mm FH Screw, Philips",$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,6,7081,Bushing Head,$9.89
Taper-Head-Assembly-New-Style-4-760.pdf,7,7012,#6-32 x 1/4 Fillister Head,$1.79
