pdf_filename,product_name,table_section,key_item,description,notes
northstar_corner_roller.pdf,Corner Roller,PART,NUMBER,,
northstar_corner_roller.pdf,Corner Roller,PART,DESCRIPTION,,
northstar_corner_roller.pdf,Corner Roller,PART,QTY.,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-1 CAST,,
northstar_corner_roller.pdf,Corner Roller,PART,ROLLER HEAD,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,2,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-4,,
northstar_corner_roller.pdf,Corner Roller,PART,WHEEL ASMY,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,3,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-4A,,
northstar_corner_roller.pdf,Corner Roller,PART,WHEEL ASMY,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-8,,
northstar_corner_roller.pdf,Corner Roller,PART,HINGE ASMY,,
northstar_corner_roller.pdf,Corner Roller,PART,2,,
northstar_corner_roller.pdf,Corner Roller,PART,5,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-12,,
northstar_corner_roller.pdf,Corner Roller,PART,HINGE BUSHING,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,6,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-5,,
northstar_corner_roller.pdf,Corner Roller,PART,ROLLER BUSHING,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,7,,
northstar_corner_roller.pdf,Corner Roller,PART,CR-2,,
northstar_corner_roller.pdf,Corner Roller,PART,HINGE PIN,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,8,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-095,,
northstar_corner_roller.pdf,Corner Roller,PART,8-32x3/8 LG HEX,,
northstar_corner_roller.pdf,Corner Roller,PART,SOCKET CAP SCREW,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,9,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-092,,
northstar_corner_roller.pdf,Corner Roller,PART,1/4 FLAT WASHER,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,10,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-172,,
northstar_corner_roller.pdf,Corner Roller,PART,1/4-20X1-1/4 HEX,,
northstar_corner_roller.pdf,Corner Roller,PART,BOLT,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,11,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-170,,
northstar_corner_roller.pdf,Corner Roller,PART,.750X.254X.0936,FLAT,
northstar_corner_roller.pdf,Corner Roller,PART,WASHER,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,12,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-180,,
northstar_corner_roller.pdf,Corner Roller,PART,SOLID RIVET,,
northstar_corner_roller.pdf,Corner Roller,PART,2,,
northstar_corner_roller.pdf,Corner Roller,PART,13,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-091,,
northstar_corner_roller.pdf,Corner Roller,PART,1/4 DIAx3/4 LG,,
northstar_corner_roller.pdf,Corner Roller,PART,CLEVIS PIN,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,14,,
northstar_corner_roller.pdf,Corner Roller,PART,SHW-093,,
northstar_corner_roller.pdf,Corner Roller,PART,5/64x3/4 COTTER PIN,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,8,,
northstar_corner_roller.pdf,Corner Roller,PART,A,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,2,,
northstar_corner_roller.pdf,Corner Roller,PART,3,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,5,,
northstar_corner_roller.pdf,Corner Roller,PART,6,,
northstar_corner_roller.pdf,Corner Roller,PART,7,,
northstar_corner_roller.pdf,Corner Roller,PART,D,,
northstar_corner_roller.pdf,Corner Roller,PART,C,,
northstar_corner_roller.pdf,Corner Roller,PART,B,,
northstar_corner_roller.pdf,Corner Roller,PART,C,,
northstar_corner_roller.pdf,Corner Roller,PART,A,,
northstar_corner_roller.pdf,Corner Roller,PART,D,,
northstar_corner_roller.pdf,Corner Roller,PART,B,,
northstar_corner_roller.pdf,Corner Roller,PART,5,,
northstar_corner_roller.pdf,Corner Roller,PART,3,,
northstar_corner_roller.pdf,Corner Roller,PART,1,,
northstar_corner_roller.pdf,Corner Roller,PART,6,,
northstar_corner_roller.pdf,Corner Roller,PART,2,,
northstar_corner_roller.pdf,Corner Roller,PART,4,,
northstar_corner_roller.pdf,Corner Roller,PART,8,,
northstar_corner_roller.pdf,Corner Roller,PART,7,,
northstar_corner_roller.pdf,Corner Roller,PART,CORNER ROLLER,,
