product_name,item_no,part_numbers,description,quantity,pdf_source
Bff,1,FLP-41-FN,DISCHARGE TUBE ASSEMBLY,,NS-BFF.pdf
Bff,1,FLP-39-FN,FILLER TUBE ASSEMBLY,,NS-BFF.pdf
Bff,1,SHW-082,"SASH CHAIN- 10.25""",,NS-BFF.pdf
Bff,2,SHW-096,S RING,,NS-BFF.pdf
Bff,5,SHW-023,Filler Nozzle Assy.,,NS-BFF.pdf
Cbh,2,CBH-01,END CAP,,NS-CBH.pdf
Cbh,3,CBH-02,ANGLE ARM,,NS-CBH.pdf
Cbh,4,FFH-01,PROFILE EXTRUSION,,NS-CBH.pdf
Cbh,5,FFH-02,MAIN TUBE,,NS-CBH.pdf
Cbh,6,FFH-14,POSITION LOCK SLEEVE,,NS-CBH.pdf
Cbh,7,FFH-15,POSITION LOCK LEVER,,NS-CBH.pdf
Cbh,8,FFH-16,POSITION LOCK COMPRESSION SPRING,,NS-CBH.pdf
Cbh,9,FFH-17,POSITION LOCK PIN BUSHING,,NS-CBH.pdf
Cbh,10,FFH-18,POSITION LOCK PIN,,NS-CBH.pdf
Cbh,11,FFH-20,PINCH BRAKE HOUSING,,NS-CBH.pdf
Cbh,12,SBH-01,END GRIP,,NS-CBH.pdf
Cbh,13,CRH-05,6-32 SHOULDER BOLT,,NS-CBH.pdf
Cbh,14,SHW-001,HANDLE GRIP,,NS-CBH.pdf
Cbh,15,SHW-005,5/32x7/8 LG SPRING PIN,,NS-CBH.pdf
Cbh,16,SHW-006,1/8x1/8 GRIP RIVET,,NS-CBH.pdf
Cbh,17,SHW-016,6-32x1/4 LG HEX SOCKET CAP SCREW,,NS-CBH.pdf
Cbh,18,SHW-038,6-32 THIN NYLOCK,,NS-CBH.pdf
Cbh,19,SHW-095,8-32x3/8 LG HEX SOCKET CAP SCREW,,NS-CBH.pdf
Cbh,1,SHW-064,1/4 ODx #8 IDx 1/8 LG SPACER,,NS-CBH.pdf
Cbh,,CBH-00,ADJUSTAR HANDLE LINE,,NS-CBH.pdf
Corner Roller,1,CR-1 CAST,ROLLER HEAD,,northstar_corner_roller.pdf
Corner Roller,4,CR-4,WHEEL ASMY,,northstar_corner_roller.pdf
Corner Roller,4,CR-4A,WHEEL ASMY,,northstar_corner_roller.pdf
Corner Roller,2,CR-8,HINGE ASMY,,northstar_corner_roller.pdf
Corner Roller,1,CR-12,HINGE BUSHING,,northstar_corner_roller.pdf
Corner Roller,4,CR-5,ROLLER BUSHING,,northstar_corner_roller.pdf
Corner Roller,1,CR-2,HINGE PIN,,northstar_corner_roller.pdf
Corner Roller,1,SHW-095,8-32x3/8 LG HEX,,northstar_corner_roller.pdf
Corner Roller,4,SHW-092,1/4 FLAT WASHER,,northstar_corner_roller.pdf
Corner Roller,4,SHW-172,1/4-20X1-1/4 HEX,,northstar_corner_roller.pdf
Corner Roller,4,SHW-170,.750X.254X.0936,,northstar_corner_roller.pdf
Corner Roller,2,SHW-180,SOLID RIVET,,northstar_corner_roller.pdf
Corner Roller,1,SHW-091,1/4 DIAx3/4 LG,,northstar_corner_roller.pdf
Corner Roller,1,SHW-093,5/64x3/4 COTTER PIN,,northstar_corner_roller.pdf
Cornerbox,2,CB-1,CORNER BOX FRAME,1,NS-CORNERBOX.pdf
Cornerbox,3,CB-2,SEALER BLOCK,1,NS-CORNERBOX.pdf
Cornerbox,4,CB-3,PRESSURE PLATE,1,NS-CORNERBOX.pdf
Cornerbox,5,CB-4,HOLDER BLOCK,1,NS-CORNERBOX.pdf
Cornerbox,6,CB-5,NOZZLE,1,NS-CORNERBOX.pdf
Cornerbox,7,CB-6,DRUM SEAL,1,NS-CORNERBOX.pdf
Cornerbox,8,CB-7,SHOULDER BUSHING,2,NS-CORNERBOX.pdf
Cornerbox,9,CB-8,WIPER,1,NS-CORNERBOX.pdf
Cornerbox,10,CB-9,DOOR STOP LEVER,1,NS-CORNERBOX.pdf
Cornerbox,11,CB-10,VALVE BODY ASSEMBLY,1,NS-CORNERBOX.pdf
Cornerbox,12,CB-12,VALVE HOLDER BLOCK,1,NS-CORNERBOX.pdf
Cornerbox,13,CB-13,VALVE STEM,1,NS-CORNERBOX.pdf
Cornerbox,14,CB-14,VALVE SPRING,1,NS-CORNERBOX.pdf
Cornerbox,15,SHW-007,6-32x1/4 LG PAN HEAD,5,NS-CORNERBOX.pdf
Cornerbox,16,SHW-038,6-32 THIN NYLOCK,5,NS-CORNERBOX.pdf
Cornerbox,17,SHW-039,10-32 REGULAR NYLOCK,1,NS-CORNERBOX.pdf
Cornerbox,18,SHW-074,#10 BRASS FLAT WASHER,1,NS-CORNERBOX.pdf
Cornerbox,19,SHW-101,4L4-F NYLINER,2,NS-CORNERBOX.pdf
Cornerbox,20,SHW-097,"6-32x1/2""L SLOT PAN HEAD SCREW",4,NS-CORNERBOX.pdf
Cornerbox,21,SHW-103,"6-32x5/16""L SLOT PAN HEAD SCREW",4,NS-CORNERBOX.pdf
Cornerbox,22,SHW-104,"10-32x1/2"" SLOT PAN HEAD SCREW",1,NS-CORNERBOX.pdf
Cornerbox,23,SHW-105,"0.375""ODx#10 ID DELRIN FLAT WASHER",1,NS-CORNERBOX.pdf
Cornerbox,24,SHW-106,"10-32x1/2"" SLOT BIND HEAD SCREW",2,NS-CORNERBOX.pdf
Cornerbox,25,SHW-107,"1/4-20x5/8"" HEX HEAD SCREW",2,NS-CORNERBOX.pdf
