type,brand,sku,mpn,row_id,image,path,stem_implies_sku,other_products,details
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,ez10-ad.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,ez12-ad.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,lp01-ad.webp,,lp01-ad,"[""LP01-AD""]","Image stem 'lp01-ad' implies a different product SKU (['LP01-AD', 'LP01-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,cr01-ad.webp,,cr01-ad,"[""CR01-AD""]","Image stem 'cr01-ad' implies a different product SKU (['CR01-AD', 'CR01-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,ah30-ad.webp,,ah30-ad,"[""AH30-AD""]","Image stem 'ah30-ad' implies a different product SKU (['AH30-AD', 'AH30-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,cfa-ad.webp,,cfa-ad,"[""CFA-AD""]","Image stem 'cfa-ad' implies a different product SKU (['CFA-AD', 'CFA-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,fh-ad.webp,,fh-ad,"[""FH-AD""]","Image stem 'fh-ad' implies a different product SKU (['FH-AD', 'FH-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,gn01-ad.webp,,gn01-ad,"[""GN01-AD""]","Image stem 'gn01-ad' implies a different product SKU (['GN01-AD', 'GN01-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,9R-PIR7-OTNL,,3,fa01-ad.webp,,fa01-ad,"[""FA01-AD""]","Image stem 'fa01-ad' implies a different product SKU (['FA01-AD', 'FA01-AD']), yet it is linked to 9R-PIR7-OTNL"
cross_linked_images,Asgard,AGFLATEXT,,4,ez10-ad.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to AGFLATEXT"
cross_linked_images,Asgard,AGFLATEXT,,4,ez12-ad.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to AGFLATEXT"
cross_linked_images,Asgard,AGFLATEXT,,4,lp01-ad.webp,,lp01-ad,"[""LP01-AD""]","Image stem 'lp01-ad' implies a different product SKU (['LP01-AD', 'LP01-AD']), yet it is linked to AGFLATEXT"
cross_linked_images,Asgard,AGFLATEXT,,4,fbhe-ad.webp,,fbhe-ad,"[""FBHE-AD""]","Image stem 'fbhe-ad' implies a different product SKU (['FBHE-AD', 'FBHE-AD']), yet it is linked to AGFLATEXT"
cross_linked_images,Asgard,AGFLATEXT,,4,fa01-ad.webp,,fa01-ad,"[""FA01-AD""]","Image stem 'fa01-ad' implies a different product SKU (['FA01-AD', 'FA01-AD']), yet it is linked to AGFLATEXT"
conflicting_images,,AGFLATEXT,,4,ez10-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad.webp
conflicting_images,,AGFLATEXT,,4,ez12-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad.webp
conflicting_images,,AGFLATEXT,,4,lp01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/lp01-ad.webp
conflicting_images,,AGFLATEXT,,4,fa01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/fa01-ad.webp
