old_filename,new_filename
asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-01.webp,asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-01.webp
asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-02.webp,asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-02.webp
asgard-10-inch-flat-box-EZ10-AD-01.webp,asgard-10-inch-flat-box-EZ10-AD-01.webp
asgard-10-inch-maxxbox-finishing-box-EHC10-AD-01.webp,asgard-10-inch-maxxbox-finishing-box-EHC10-AD-01.webp
asgard-10-inch-maxxbox-finishing-box-EHC10-AD-02.webp,asgard-10-inch-maxxbox-finishing-box-EHC10-AD-02.webp
asgard-10-inch-maxxbox-finishing-box-EHC10-AD-03.webp,asgard-10-inch-maxxbox-finishing-box-EHC10-AD-03.webp
asgard-10-inch-maxxbox-finishing-box-EHC10-AD-04.webp,asgard-10-inch-maxxbox-finishing-box-EHC10-AD-04.webp
asgard-10-inch-power-assist-finishing-box-PA10-AD-01.webp,asgard-10-inch-power-assist-finishing-box-PA10-AD-01.webp
asgard-12-inch-flat-box-EZ12-AD-01.webp,asgard-12-inch-flat-box-EZ12-AD-01.webp
asgard-12-inch-power-assist-finishing-box-PA12-AD-01.webp,asgard-12-inch-power-assist-finishing-box-PA12-AD-01.webp
asgard-2-5-inch-angle-head-AH25-AD-01.webp,asgard-2-5-inch-angle-head-AH25-AD-01.webp
asgard-3-5-inch-angle-head-AH35-AD-01.webp,asgard-3-5-inch-angle-head-AH35-AD-01.webp
asgard-3-inch-angle-head-AH30-AD-01.webp,asgard-3-inch-angle-head-AH30-AD-01.webp
asgard-3-inch-nail-spotter-NS03-AD-01.webp,asgard-3-inch-nail-spotter-NS03-AD-01.webp
asgard-3-inch-nail-spotter-NS03-AD-02.webp,asgard-3-inch-nail-spotter-NS03-AD-02.webp
asgard-3-inch-nail-spotter-NS03-AD-03.webp,asgard-3-inch-nail-spotter-NS03-AD-03.webp
asgard-3-inch-nail-spotter-NS03-AD-04.webp,asgard-3-inch-nail-spotter-NS03-AD-04.webp
asgard-3-inch-nail-spotter-NS03-AD-05.webp,asgard-3-inch-nail-spotter-NS03-AD-05.webp
asgard-3-inch-nail-spotter-NS03-AD-06.webp,asgard-3-inch-nail-spotter-NS03-AD-06.webp
asgard-7-inch-flat-box-EZ07-AD-01.webp,asgard-7-inch-flat-box-EZ07-AD-01.webp
asgard-7-inch-power-assist-finishing-box-PA07-AD-01.webp,asgard-7-inch-power-assist-finishing-box-PA07-AD-01.webp
asgard-8-inch-drywall-angle-box-CA08-AD-01.webp,asgard-8-inch-drywall-angle-box-CA08-AD-01.webp
asgard-8-inch-drywall-angle-box-CA08-AD-02.webp,asgard-8-inch-drywall-angle-box-CA08-AD-02.webp
asgard-8-inch-drywall-angle-box-CA08-AD-03.webp,asgard-8-inch-drywall-angle-box-CA08-AD-03.webp
asgard-8-inch-drywall-angle-box-CA08-AD-04.webp,asgard-8-inch-drywall-angle-box-CA08-AD-04.webp
asgard-8-inch-drywall-angle-box-CA08-AD-05.webp,asgard-8-inch-drywall-angle-box-CA08-AD-05.webp
asgard-8-inch-drywall-angle-box-CA08-AD-06.webp,asgard-8-inch-drywall-angle-box-CA08-AD-06.webp
asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp,asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp
asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp,asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp
asgard-angle-head-ball-adapter-CFA-AD-01.webp,asgard-angle-head-ball-adapter-CFA-AD-01.webp
asgard-angle-head-ball-adapter-CFA-AD-02.webp,asgard-angle-head-ball-adapter-CFA-AD-02.webp
asgard-angle-head-ball-adapter-CFA-AD-03.webp,asgard-angle-head-ball-adapter-CFA-AD-03.webp
asgard-box-filler-adapter-FA01-AD-01.webp,asgard-box-filler-adapter-FA01-AD-01.webp
asgard-box-filler-adapter-FA01-AD-02.webp,asgard-box-filler-adapter-FA01-AD-02.webp
asgard-brakeless-box-handle-BBH-AD-01.webp,asgard-brakeless-box-handle-BBH-AD-01.webp
asgard-brakeless-box-handle-BBH-AD-02.webp,asgard-brakeless-box-handle-BBH-AD-02.webp
asgard-extendable-flat-box-handle-FBHE-AD-01.webp,asgard-extendable-flat-box-handle-FBHE-AD-01.webp
asgard-extendable-flat-box-handle-FBHE-AD-02.webp,asgard-extendable-flat-box-handle-FBHE-AD-02.webp
asgard-extendable-support-handle-XH-AD-01.webp,asgard-extendable-support-handle-XH-AD-01.webp
asgard-extendable-support-handle-XH-AD-02.webp,asgard-extendable-support-handle-XH-AD-02.webp
asgard-fiberglass-handle-FH-AD-01.webp,asgard-fiberglass-handle-FH-AD-01.webp
asgard-fiberglass-handle-FH-AD-02.webp,asgard-fiberglass-handle-FH-AD-02.webp
asgard-full-taping-tool-set-pro-grade-9R-PIR7-OTNL-01.webp,asgard-full-taping-tool-set-pro-grade-9R-PIR7-OTNL-01.webp
asgard-gooseneck-GN01-AD-01.webp,asgard-gooseneck-GN01-AD-01.webp
asgard-gooseneck-GN01-AD-02.webp,asgard-gooseneck-GN01-AD-02.webp
asgard-inside-corner-roller-CR01-AD-01.webp,asgard-inside-corner-roller-CR01-AD-01.webp
asgard-inside-corner-roller-CR01-AD-02.webp,asgard-inside-corner-roller-CR01-AD-02.webp
asgard-inside-corner-roller-CR01-AD-03.webp,asgard-inside-corner-roller-CR01-AD-03.webp
asgard-inside-corner-roller-CR01-AD-04.webp,asgard-inside-corner-roller-CR01-AD-04.webp
asgard-loading-pump-LP01-AD-01.webp,asgard-loading-pump-LP01-AD-01.webp
asgard-loading-pump-LP01-AD-02.webp,asgard-loading-pump-LP01-AD-02.webp
asgard-loading-pump-LP01-AD-03.webp,asgard-loading-pump-LP01-AD-03.webp
asgard-loading-pump-LP01-AD-04.webp,asgard-loading-pump-LP01-AD-04.webp
