Brands,MPN,SKU,Name,Short description,Description,features,price_display,Regular price,Images
TapeTech,330023G,19134,"TapeTech 12"" Side Plate, Right","TapeTech 12"" Side Plate, Right","TapeTech 12"" Side Plate, Right",,$45.00,45.0,
TapeTech,EIFSand-FlexDrive,19133,TapeTech Flexible Drive Shaft for EIFSAND Sanders,TapeTech Flexible Drive Shaft for EIFSand Sanders,TapeTech Flexible Drive Shaft for EIFSand Sanders,,$119.99,119.99,
TapeTech,MWS-ACC,19059,TapeTech MWS Accessory Kit,TapeTech MWS Accessory Kit TapeTech has now included a new Accessory Kit with every Wash Station purchased. The kit includes: a.,"TapeTech MWS Accessory Kit TapeTech has now included a new Accessory Kit with every Wash Station purchased. The kit includes: a. Hanging Basket – to keep your already cleaned tools clean and allows them to hang to dry. Features: Hanging Basket – Allows your already clean tools to stay clean and not be put back into the basin with other tools. The basket allows for the tools to begin drying while hanging. The basket can be hung at various locations on the wash basin. Nozzle Brush – The brush simply snaps onto the end of the spray nozzle. When used in combination with the spray nozzle, the new brush helps remove stubborn compound faster. The brush also acts as a splash shield against over spray. Drain Riser – The drain riser is inserted into the metal drain in the basin and helps to prevent compound from draining into the bucket, keeping your water cleaner longer. By removing the riser, the retained compound can now be drained into a disposal bucket.","Hanging Basket – Allows your already clean tools to stay clean and not be put back into the basin with other tools. The basket allows for the tools to begin drying while hanging. The basket can be hung at various locations on the wash basin. | Nozzle Brush – The brush simply snaps onto the end of the spray nozzle. When used in combination with the spray nozzle, the new brush helps remove stubborn compound faster. The brush also acts as a splash shield against over spray. | Drain Riser – The drain riser is inserted into the metal drain in the basin and helps to prevent compound from draining into the bucket, keeping your water cleaner longer. By removing the riser, the retained compound can now be drained into a disposal bucket.",$49.00,49.0,https://www.shopamestools.com/Item_Images_AMES/19059_MWS-ACC_001.jpg
TapeTech,EMAGDARBY48-SER,18935,"TapeTech 48"" Dual Serrated Edge Magnesium Darby with Knob & Rail","TapeTech 48"" Dual Serrated Edge Magnesium Darby with Knob & Rail - EMAGDARBY48-SER TapeTech darbies quickly and efficiently smooth and compact plaster and stucc...","TapeTech 48"" Dual Serrated Edge Magnesium Darby with Knob & Rail - EMAGDARBY48-SER TapeTech darbies quickly and efficiently smooth and compact plaster and stucco surfaces. TapeTech offers a smooth darby and a serrated darby. Both tools effectively knock down high spots in the material and fill low spots. The smooth darby helps to smooth and seal the plaster or stucco surface while the serrated darby creates small grooves in the surface. These grooves essentially “key” the surface to improve the adhesion of the next coat of material and introduce air to the material which accelerates the drying process. Key Features: Compacts plaster and stucco : Compresses the material to eliminate voids and improve adhesion. Smooths and levels plaster and stucco: The long, flat blade of the darby sweeps across the wet plaster or stucco material to make it level. Eliminates high spots : The darby shaves down any high spots in the plaster or stucco, leaving a flat surface. Fills low spots : Use the darby to move extra material to low spots to achieve a consistent, uniform surface. Improves adhesion : The serrated edge darby creates a textured surface that gives the next coat of material a better ""key"" or grip. Accelerates drying time : The serrations allow air to circulate, which helps the material dry faster, especially in cooler or more humid conditions. This allows you to get to the next coat sooner. Ergonomic Design : Ergonomic design features one knob and one handle for comfortable, all-day use and maneuverability.","Compacts plaster and stucco: Compresses the material to eliminate voids and improve adhesion. | Smooths and levels plaster and stucco:The long, flat blade of the darby sweeps across the wet plaster or stucco material to make it level. | Eliminates high spots: The darby shaves down any high spots in the plaster or stucco, leaving a flat surface. | Fills low spots: Use the darby to move extra material to low spots to achieve a consistent, uniform surface. | Improves adhesion: The serrated edge darby creates a textured surface that gives the next coat of material a better ""key"" or grip. | Accelerates drying time: The serrations allow air to circulate, which helps the material dry faster, especially in cooler or more humid conditions. This allows you to get to the next coat sooner. | Ergonomic Design: Ergonomic design features one knob and one handle for comfortable, all-day use and maneuverability.",$63.99,63.99,https://www.shopamestools.com/Item_Images_AMES/18935_EMAGDARBY48-SER_01.jpg
TapeTech,EMAGDARBY48-SM,18934,"TapeTech 48"" Smooth Edge Magnesium Darby with Knob & Rail","TapeTech 48"" Smooth Edge Magnesium Darby with Knob & Rail - EMAGDARBY48-SM TapeTech darbies quickly and efficiently smooth and compact plaster and stucco surfac...","TapeTech 48"" Smooth Edge Magnesium Darby with Knob & Rail - EMAGDARBY48-SM TapeTech darbies quickly and efficiently smooth and compact plaster and stucco surfaces. TapeTech offers a smooth darby and a serrated darby. Both tools effectively knock down high spots in the material and fill low spots. The smooth darby helps to smooth and seal the plaster or stucco surface while the serrated darby creates small grooves in the surface. These grooves essentially “key” the surface to improve the adhesion of the next coat of material and introduce air to the material which accelerates the drying process. Key Features: Compacts plaster and stucco: Compresses the material to eliminate voids and improve adhesion. Smooths and levels plaster and stucco: The long, flat blade of the darby sweeps across the wet material to make it level Eliminates high spots : The darby shaves down any high spots in the plaster or stucco, leaving a flat surface. Fills low spots: Use the darby to move extra material to low spots to achieve a consistent, uniform surface. Ergonomic Design : Ergonomic design features one knob and one handle for comfortable, all-day use and maneuverability.","Compacts plaster and stucco:Compresses the material to eliminate voids and improve adhesion. | Smooths and levels plaster and stucco:The long, flat blade of the darby sweeps across the wet material to make it level | Eliminates high spots: The darby shaves down any high spots in the plaster or stucco, leaving a flat surface. | Fills low spots:Use the darby to move extra material to low spots to achieve a consistent, uniform surface. | Ergonomic Design: Ergonomic design features one knob and one handle for comfortable, all-day use and maneuverability.",$49.99,49.99,https://www.shopamestools.com/Item_Images_AMES/18934_EMAGDARBY48-SM_01.jpg
TapeTech,EFLOAT0512-N,18916,"TapeTech 12"" x 5"" x 1/4"" EVA Neo Float","TapeTech 12"" x 5"" x 1/4"" EVA Neo Float EVA Floats are ideal when working the brown coat application of stucco and plaster.","TapeTech 12"" x 5"" x 1/4"" EVA Neo Float EVA Floats are ideal when working the brown coat application of stucco and plaster. The EVA pad is non-porous and is very effective at compressing the material. The rigidity of the pad allows you to shape inside corners and crisp lines in the stucco or other material. Features: The hard rubber pad is ideal for working the brown coat in stucco and plaster. Heavy Duty aluminum plate is bonded to the float using pro grade adhesives. The ¼” thick pad reduces worker fatigue. The natural wood handle is ideal for all day use. The 12” x 5” float is the industry standard for stucco, plaster, and other materials.","The hard rubber pad is ideal for working the brown coat in stucco and plaster. | Heavy Duty aluminum plate is bonded to the float using pro grade adhesives. | The ¼” thick pad reduces worker fatigue. | The natural wood handle is ideal for all day use. | The 12” x 5” float is the industry standard for stucco, plaster, and other materials.",$12.99,12.99,https://www.shopamestools.com/Item_Images_AMES/18916_EFLOAT0512-N_01.jpg | https://www.shopamestools.com/Item_Images_AMES/18916_EFLOAT0512-N_02.jpg | https://www.shopamestools.com/Item_Images_AMES/18916_EFLOAT0512-N_03.jpg | https://s3.amazonaws.com/tswfastcomfiles/product/20828_MD-TTTEFLOAT0512N.jpg
TapeTech,EFLOAT0512-W,18915,"TapeTech 12"" x 5"" x 3/4"" White Foam Float","TapeTech 12"" x 5"" x 3/4"" White Foam Float TapeTech White Foam Floats have a closed cell structure and produce a finer, smoother finish when working with stucco,...","TapeTech 12"" x 5"" x 3/4"" White Foam Float TapeTech White Foam Floats have a closed cell structure and produce a finer, smoother finish when working with stucco, plaster, concrete, and other trades. Features: White foam holds more water and results in a smoother finish in all materials. Heavy Duty aluminum plate is bonded to the float using pro grade adhesives. The lightweight foam reduces worker fatigue The natural wood handle is ideal for all day use. The 12” x 5” float is the industry standard for stucco, plaster, concrete and other materials.","White foam holds more water and results in a smoother finish in all materials. | Heavy Duty aluminum plate is bonded to the float using pro grade adhesives. | The lightweight foam reduces worker fatigue | The natural wood handle is ideal for all day use. | The 12” x 5” float is the industry standard for stucco, plaster, concrete and other materials.",$7.99,7.99,https://www.shopamestools.com/Item_Images_AMES/18915_EFLOAT0512-W_01.jpg | https://www.shopamestools.com/Item_Images_AMES/18915_EFLOAT0512-W_02.jpg | https://www.shopamestools.com/Item_Images_AMES/18915_EFLOAT0512-W_03.jpg | https://s3.amazonaws.com/tswfastcomfiles/product/20827_MD-TTTEFLOAT0512W.jpg
TapeTech,EFLOAT0512-G,18914,"TapeTech 12"" x 5"" x 3/4"" Green Foam Float","TapeTech 12"" x 5"" x 3/4"" Green Foam Float - EFLOAT0512-G TapeTech Green Foam Floats are the industry standard for stucco and other materials.","TapeTech 12"" x 5"" x 3/4"" Green Foam Float - EFLOAT0512-G TapeTech Green Foam Floats are the industry standard for stucco and other materials. They have an open cell design that pulls sand and aggregates to the surface, bringing out the texture of the material. Key Features: Pulls sand and aggregates to the surface, creating the desired texture in the material. Heavy Duty aluminum plate is bonded to the float using pro grade adhesives. The lightweight foam reduces worker fatigue. The natural wood handle is ideal for all day use. The 12” x 5” float is the industry standard for stucco, plaster, concrete and other materials.","Pulls sand and aggregates to the surface, creating the desired texture in the material. | Heavy Duty aluminum plate is bonded to the float using pro grade adhesives. | The lightweight foam reduces worker fatigue. | The natural wood handle is ideal for all day use. | The 12” x 5” float is the industry standard for stucco, plaster, concrete and other materials.",$6.99,6.99,https://www.shopamestools.com/Item_Images_AMES/18914_EFLOAT0512-G_01.jpg | https://www.shopamestools.com/Item_Images_AMES/18914_EFLOAT0512-G_02.jpg | https://www.shopamestools.com/Item_Images_AMES/18914_EFLOAT0512-G_03.jpg | https://s3.amazonaws.com/tswfastcomfiles/product/20826_MD-TTTEFloat0512G.jpg
TapeTech,EBAT1880,18911,TapeTech 18V 8 AmpHr Battery,TapeTech 18V 8 AmpHr Battery - EBAT1880 Compatible with the following TapeTech models: WoolCut18 - 18V Insulation Saw WoolCut-V500 - Vibrating Wire Insulation C...,TapeTech 18V 8 AmpHr Battery - EBAT1880 Compatible with the following TapeTech models: WoolCut18 - 18V Insulation Saw WoolCut-V500 - Vibrating Wire Insulation Cutter,WoolCut18 - 18V Insulation Saw | WoolCut-V500 - Vibrating Wire Insulation Cutter,$124.99,124.99,https://www.shopamestools.com/Item_Images_AMES/18911_EBAT1880_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18911_EBAT1880_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18911_EBAT1880_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18911_EBAT1880_004.jpg
TapeTech,EHWSKIN18,18910,TapeTech 18V Wall Skinner for EPS/XPS Foam,TapeTech 18V Wall Skinner for EPS/XPS Foam - EHWSKIN18,TapeTech 18V Wall Skinner for EPS/XPS Foam - EHWSKIN18,,$229.00,229.0,https://www.shopamestools.com/Item_Images_AMES/18910_EHWSKIN18_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18910_EHWSKIN18_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18910_EHWSKIN18_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18910_EHWSKIN18_004.jpg | https://www.shopamestools.com/Item_Images_AMES/18910_EHWSKIN18_005.JPG
