SKU,Brand,Type,Status,Old Image Count,New Image Count,Added Files,Removed Files
4I-SJ80-1WRW,Asgard,simple,unchanged,1,1,,
4K-S6F6-8HQ6,Asgard,simple,unchanged,1,1,,
9R-PIR7-OTNL,Asgard,simple,unchanged,1,1,,
AGFLATEXT,Asgard,simple,unchanged,2,2,,
AH-AD,Asgard,variable,unchanged,4,4,,
AH25-AD,Asgard,variation,unchanged,4,4,,
AH30-AD,Asgard,variation,unchanged,4,4,,
AH35-AD,Asgard,variation,unchanged,4,4,,
BBH-AD,Asgard,simple,unchanged,2,2,,
CA08-AD,Asgard,simple,unchanged,6,6,,
CFA-AD,Asgard,simple,unchanged,3,3,,
CR01-AD,Asgard,simple,unchanged,4,4,,
EHC10-AD,Asgard,simple,unchanged,4,4,,
EZFB-AD,Asgard,variable,unchanged,6,6,,
EZ07-AD,Asgard,variation,unchanged,6,6,,
EZ10-AD,Asgard,variation,unchanged,6,6,,
EZ12-AD,Asgard,variation,unchanged,6,6,,
FA01-AD,Asgard,simple,unchanged,2,2,,
FBHE-AD,Asgard,simple,unchanged,2,2,,
FH-AD,Asgard,simple,unchanged,2,2,,
GN01-AD,Asgard,simple,unchanged,2,2,,
HU-OI6G-88Y4,Asgard,simple,unchanged,1,1,,
LP01-AD,Asgard,simple,unchanged,4,4,,
NS03-AD,Asgard,simple,unchanged,6,6,,
PAFB-AD,Asgard,variable,unchanged,4,4,,
PA07-AD,Asgard,variation,unchanged,4,4,,
PA10-AD,Asgard,variation,unchanged,4,4,,
PA12-AD,Asgard,variation,unchanged,4,4,,
TF-DVKN-31Q3,Asgard,simple,unchanged,1,1,,
XH-AD,Asgard,simple,unchanged,2,2,,
3WTDF,Columbia Taping Tools,simple,unchanged,2,2,,
3WTSF,Columbia Taping Tools,simple,unchanged,1,1,,
AH4,Columbia Taping Tools,simple,unchanged,1,1,,
AH6A,Columbia Taping Tools,simple,unchanged,2,2,,
AH8,Columbia Taping Tools,simple,unchanged,1,1,,
AH9,Columbia Taping Tools,simple,unchanged,2,2,,
AHA,Columbia Taping Tools,simple,unchanged,4,4,,
ANGLEHEADMAINTENANCEKITS,Columbia Taping Tools,simple,unchanged,1,1,,
AUTOMATICFLATBOXES,Columbia Taping Tools,simple,unchanged,2,2,,
AUTOMATICTAPERMAINTENANCEKITS,Columbia Taping Tools,simple,unchanged,1,1,,
BF,Columbia Taping Tools,simple,improved,1,3,bf_01.webp|bf_02.webp,
BH06,Columbia Taping Tools,simple,unchanged,2,2,,
BH07,Columbia Taping Tools,simple,unchanged,2,2,,
BH1,Columbia Taping Tools,simple,unchanged,1,1,,
BH2,Columbia Taping Tools,simple,unchanged,1,1,,
BH4,Columbia Taping Tools,simple,unchanged,2,2,,
BH5,Columbia Taping Tools,simple,unchanged,1,1,,
C1H,Columbia Taping Tools,simple,unchanged,6,6,,
C1HEXT,Columbia Taping Tools,simple,unchanged,1,1,,
C1HS,Columbia Taping Tools,simple,unchanged,6,6,,
CBNCR,Columbia Taping Tools,simple,improved,2,3,cbncr_01.webp,
CC,Columbia Taping Tools,simple,improved,2,3,cc_01.webp,
CEXT90,Columbia Taping Tools,simple,improved,2,4,cext90_01.webp|cext90_02.webp,
CF1B,Columbia Taping Tools,simple,unchanged,1,1,,
CF4L,Columbia Taping Tools,simple,unchanged,1,1,,
CFB15,Columbia Taping Tools,simple,unchanged,1,1,,
CFB16,Columbia Taping Tools,simple,unchanged,1,1,,
CFB1A,Columbia Taping Tools,simple,unchanged,1,1,,
CFB28,Columbia Taping Tools,simple,unchanged,1,1,,
CFB47,Columbia Taping Tools,simple,unchanged,1,1,,
CFB48,Columbia Taping Tools,simple,unchanged,1,1,,
CFB6,Columbia Taping Tools,simple,unchanged,2,2,,
CFB77,Columbia Taping Tools,simple,unchanged,1,1,,
CFB78,Columbia Taping Tools,simple,unchanged,1,1,,
CFB8,Columbia Taping Tools,simple,unchanged,2,2,,
CFB8A,Columbia Taping Tools,simple,unchanged,1,1,,
CFLT,Columbia Taping Tools,simple,improved,2,3,cflt_01.webp,
CHXL,Columbia Taping Tools,simple,improved,2,3,chxl_01.webp,
CLOSETMONSTERFLATBOXHANDLE,Columbia Taping Tools,simple,unchanged,2,2,,
CLT,Columbia Taping Tools,simple,unchanged,8,8,,
CLTBF,Columbia Taping Tools,simple,improved,2,6,cltbf_01.webp|cltbf_02.webp|cltbf_03.webp|cltbf_04.webp,
CLTHA,Columbia Taping Tools,simple,improved,2,5,cltha_01.webp|cltha_02.webp|cltha_03.webp,
CMH,Columbia Taping Tools,simple,unchanged,2,2,,
CMT,Columbia Taping Tools,simple,unchanged,3,3,,
COBCR,Columbia Taping Tools,simple,improved,1,2,cobcr_01.webp,
COBCRE,Columbia Taping Tools,simple,unchanged,1,1,,
COBCRW,Columbia Taping Tools,simple,improved,2,3,cobcrw_01.webp,
COL-AH,Columbia Taping Tools,variable,unchanged,1,1,,
25AH,Columbia Taping Tools,variation,unchanged,1,1,,
2AH,Columbia Taping Tools,variation,unchanged,2,2,,
35AH,Columbia Taping Tools,variation,unchanged,1,1,,
3AH,Columbia Taping Tools,variation,unchanged,1,1,,
COL-AHBLADE,Columbia Taping Tools,variable,unchanged,1,1,,
AH32,Columbia Taping Tools,variation,unchanged,1,1,,
AH325,Columbia Taping Tools,variation,unchanged,1,1,,
AH33,Columbia Taping Tools,variation,unchanged,1,1,,
AH335,Columbia Taping Tools,variation,unchanged,1,1,,
COL-AHRBK,Columbia Taping Tools,variable,unchanged,1,1,,
AHRBK2,Columbia Taping Tools,variation,unchanged,1,1,,
AHRBK25,Columbia Taping Tools,variation,unchanged,1,1,,
AHRBK3,Columbia Taping Tools,variation,unchanged,1,1,,
AHRBK35,Columbia Taping Tools,variation,unchanged,1,1,,
COL-AHSPRING,Columbia Taping Tools,variable,unchanged,1,1,,
AH72,Columbia Taping Tools,variation,unchanged,1,1,,
AH725,Columbia Taping Tools,variation,unchanged,1,1,,
AH73,Columbia Taping Tools,variation,unchanged,1,1,,
AH735,Columbia Taping Tools,variation,unchanged,1,1,,
COL-BBH,Columbia Taping Tools,variable,unchanged,2,2,,
3BBH,Columbia Taping Tools,variation,unchanged,2,2,,
42BBH,Columbia Taping Tools,variation,unchanged,1,1,,
4BBH,Columbia Taping Tools,variation,unchanged,9,9,,
5BBH,Columbia Taping Tools,variation,unchanged,1,1,,
6BBH,Columbia Taping Tools,variation,unchanged,1,1,,
COL-BH,Columbia Taping Tools,variable,unchanged,1,1,,
3BH,Columbia Taping Tools,variation,unchanged,1,1,,
42BH,Columbia Taping Tools,variation,unchanged,2,2,,
4BH,Columbia Taping Tools,variation,unchanged,1,1,,
5BH,Columbia Taping Tools,variation,unchanged,1,1,,
6BH,Columbia Taping Tools,variation,unchanged,1,1,,
COL-CFB,Columbia Taping Tools,variable,unchanged,2,2,,
7CFB,Columbia Taping Tools,variation,unchanged,2,2,,
8CFB,Columbia Taping Tools,variation,unchanged,1,1,,
COL-CLT,Columbia Taping Tools,variable,unchanged,8,8,,
CLT24,Columbia Taping Tools,variation,unchanged,8,8,,
CLT32,Columbia Taping Tools,variation,unchanged,2,2,,
CLT42,Columbia Taping Tools,variation,unchanged,1,1,,
CLT55,Columbia Taping Tools,variation,unchanged,1,1,,
COL-CMPX6,Columbia Taping Tools,variable,unchanged,2,2,,
C12MPX6,Columbia Taping Tools,variation,unchanged,2,2,,
C14MPX6,Columbia Taping Tools,variation,unchanged,2,2,,
COL-CMT,Columbia Taping Tools,variable,unchanged,3,3,,
CMT24,Columbia Taping Tools,variation,unchanged,3,3,,
CMT32,Columbia Taping Tools,variation,unchanged,1,1,,
CMT42,Columbia Taping Tools,variation,unchanged,1,1,,
CMT55,Columbia Taping Tools,variation,unchanged,1,1,,
COL-CSF,Columbia Taping Tools,variable,unchanged,1,1,,
25CSF,Columbia Taping Tools,variation,unchanged,1,1,,
35CSF,Columbia Taping Tools,variation,unchanged,1,1,,
3CSF,Columbia Taping Tools,variation,unchanged,1,1,,
COL-CTK,Columbia Taping Tools,variable,unchanged,1,1,,
CTK10,Columbia Taping Tools,variation,unchanged,1,1,,
CTK12,Columbia Taping Tools,variation,unchanged,1,1,,
CTK14,Columbia Taping Tools,variation,unchanged,1,1,,
CTK8,Columbia Taping Tools,variation,unchanged,1,1,,
COL-DF,Columbia Taping Tools,variable,unchanged,1,1,,
25DF,Columbia Taping Tools,variation,unchanged,1,1,,
35DF,Columbia Taping Tools,variation,unchanged,1,1,,
3DF,Columbia Taping Tools,variation,unchanged,2,2,,
COL-FBB,Columbia Taping Tools,variable,unchanged,1,1,,
10FBB,Columbia Taping Tools,variation,unchanged,1,1,,
12FBB,Columbia Taping Tools,variation,unchanged,2,2,,
55FBB,Columbia Taping Tools,variation,unchanged,1,1,,
8FBB,Columbia Taping Tools,variation,unchanged,2,2,,
COL-FBBA,Columbia Taping Tools,variable,unchanged,1,1,,
10FBBA,Columbia Taping Tools,variation,unchanged,1,1,,
12FBBA,Columbia Taping Tools,variation,unchanged,2,2,,
8FBBA,Columbia Taping Tools,variation,unchanged,2,2,,
COL-FFB,Columbia Taping Tools,variable,unchanged,1,1,,
10FFB,Columbia Taping Tools,variation,unchanged,1,1,,
12FFB,Columbia Taping Tools,variation,unchanged,1,1,,
14FFB,Columbia Taping Tools,variation,unchanged,2,2,,
55FFB,Columbia Taping Tools,variation,unchanged,1,1,,
7FFB,Columbia Taping Tools,variation,unchanged,2,2,,
