sku_code,product_title,variant_title,sales_price,cost_price,description,brand,upc_code,image_url,country_origin_code,weight_grams,product_id,min_reorder_level,quantity_to_reorder,max_reorder_level,width,depth,height,dimensions_unit,tax_rate,estimated_delivery,tags,product_properties,variant_options,tariff_code,qty_on_hand,total_qty,total_stock_value
EZ10-AD,"Asgard 10"" Flat Box",,344.00,,"Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, fine",Asgard,0873876004515,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ez10-ad.webp,,,,,,,,,,,0,,"10"", Asgard, flat box",UPC:0873876004515,,,1,,
EHC10-AD,"Asgard 10"" MaxxBox Finishing Box",,374.00,,"Asgard 10"" MAXXBOX Flat Box",Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ehc10-ad.webp,,,,,,,,,,,0,,"10"", Asgard, finishing box, maxxbox",,,,1,,
PA10-AD,"Asgard 10"" Power Assist Finishing Box",,442.00,,"Asgard 10"" Power Assist Finishing Box",Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/pa10-ad.webp,,,,,,,,,,,0,,"10"", Asgard, finishing box",,,,1,,
AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set",,1357.00,,This kit includes the following,Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/agflatext.webp,,,,,,,,,,,0,,"10"", 12"", Asgard, combo set, flat box",,,,1,,
EZ12-AD,"Asgard 12"" Flat Box",,327.00,,"Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finish",Asgard,0873876004522,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ez12-ad.webp,,,,,,,,,,,0,,"12"", Asgard, flat box",UPC:0873876004522,,,1,,
PA12-AD,"Asgard 12"" Power Assist Finishing Box",,456.00,,"Asgard 12"" Power Assist Finishing Box",Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/pa12-ad.webp,,,,,,,,,,,0,,"12"", Asgard, finishing box",,,,1,,
AH25-AD,"Asgard 2.5"" Angle Head",,316.00,,"The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using acorner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results.",Asgard,0873876004539,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ah25-ad.webp,,,,,,,,,,,0,,"2.5"", angle head, Asgard",UPC:0873876004539,,,1,,
AH30-AD,"Asgard 3"" Angle Head",,338.00,,"The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q",Asgard,873876004553,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ah30-ad.webp,,,,,,,,,,,0,,"3"", angle head, Asgard",UPC:873876004553,,,1,,
NS03-AD,"Asgard 3"" Nail Spotter",,270.00,,"Discover the unparalleled durability and functionality of Asgard Taping Tools by TapeTech without the added markup. The Asgard 3"" Nail Spotter is a versatile tool for any job size, perfect as a single spotter system. It features an EasyClean® Lid, a quick-release latch, and a gasket system similar to a flat box, allowing easy access and hassle-free clean-up. The traditional style skid plate serves as both a pivot point and screw detector, preventing blade damage. This nail spotter includes an NS",Asgard,873876004614,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ns03-ad.webp,,,,,,,,,,,0,,"3"", Asgard, nail spotter",UPC:873876004614,,,1,,
AH35-AD,"Asgard 3.5"" Angle Head",,356.00,,"The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q",Asgard,0873876004553,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ah35-ad.webp,,,,,,,,,,,0,,"3.5"", angle head, Asgard",UPC:0873876004553,,,1,,
